proposal_id,end_date,token_id,unique_voters,unique_token_holders,voter_turnout_rate
0xf551e90e767fccfac8593a3233b6e2f2e2a3a773e1e9f9abbb9a4d2678f101f8,2023-10-14,uniswap,2274,367863.2580645161,0.006181644809988564
0x4d8042e4e53715dc141be98b89aab659d5f7306c3d3ef789b0c807a029c23ca8,2023-10-14,uniswap,2204,367863.2580645161,0.005991356711176251
0xae0ff2f4cb4c1d292f7bf7c4c4bf7f4046be89518a0c7cbce65d658f2d36f20f,2023-10-10,uniswap,2422,367178.87096774194,0.006596240120289443
0x011e2297060cd82da866185392a54f506118cbece76c88c1e2a02fac4cd75893,2023-09-05,uniswap,3251,362610.86666666664,0.00896553385144001
0x2ba7e3f1f75654d0b8b282f89047758866b9712ec3398e850e4fb91a8db4805a,2023-08-30,uniswap,3301,361963.06451612903,0.009119715030628237
0xc874c15656ac985df2f34d4438f8d074226f10408dd74f08295227974179b2c1,2023-08-19,uniswap,2850,360962.4193548387,0.007895558781697853
0x2a122241d608b92e605e3e2ece355e97c5691ac0448da5653025e2c929628625,2023-08-12,uniswap,4215,360325.6451612903,0.011697751899155737
0x86ded24b11c4714e0f4f2b6e4ca489f60dc33e6f2f4ababa5575bf5ab973a005,2023-07-04,uniswap,3172,354439.4516129032,0.008949342364586044
0x98e08d94e1174b0bfa2350c616d3cf2fb8f5e56c56c03dc0ae58fd29a6b29265,2023-06-24,uniswap,2612,354466.2,0.007368826703364101
0x36a17f6c311f3d910bc11cb4cd55891a7e6c71facd04e7bffcfb267fdd88c45b,2023-06-17,uniswap,3848,355016.4,0.010838935891412339
0xb643c2ccb468812901c9490dbb31c5aada0140e83d0f6ce30e04fc7a237748e8,2023-05-31,uniswap,5373,356664.22580645164,0.015064589076325604
0xac6b9ebb8cff7817fdf144119742e474dfeec984632ab374727770579e2653ed,2023-05-31,uniswap,5591,356664.22580645164,0.015675808212495153
0x4b362044000714197ab43d5f2155977976dcc7cf1cb28d945e1168ae7ac61f90,2023-06-01,uniswap,4872,356274.0,0.013674868219404166
0xa47a49305ab418cb2ceb9da1290cbe022671d5feeb5e2a344bfcd1edbe0720d6,2023-06-01,uniswap,4689,356274.0,0.013161218612640833
0xb471984c1daef6742be4d4983339af7ad140c3dfcfc883508fd975f5abe0e8c9,2023-06-01,uniswap,4660,356274.0,0.013079820587525331
0x73021d63f985aba8e42c67165f80c0027a591980a5cc372cda9637bdf2173f95,2023-04-30,uniswap,5472,368565.5333333333,0.014846749099165179
