date,token_id,gini_coefficient,nakamoto_coefficient,shannon_entropy,hhi,theil_index,unique_holders
2022-03-01,apwine,0.9308866393788564,4,5.198041945547804,0.0875583227947776,3.343005872110432,1039
2022-03-01,uniswap,0.9945318999718236,17,7.009980618018119,0.03511489801127279,7.7690105518554295,304967
2022-03-01,aave,0.9736908984302234,47,8.93492405931836,0.011104916258629987,5.389094172221491,107185
2022-03-01,index-cooperative,0.9837532665010899,4,4.993766671058568,0.08648919864998149,4.897719598339493,4269
2022-03-01,yearn-finance,0.9877735728981957,18,7.197098173265788,0.03560098885077682,5.761093704614298,46618
2022-03-01,balancer,0.9939238935493164,13,6.555401751951246,0.0320413078739777,6.020408246260612,38726
2024-06-01,apwine,0.9223630430821933,11,6.27453704011811,0.062118380968988335,2.879210792896793,1378
2024-06-01,uniswap,0.994289509149636,33,8.183102030602525,0.010473314779790634,7.181079169037735,381999
2024-06-01,aave,0.9707435960313879,72,9.790661603187857,0.008966532088586807,5.244754356999451,167900
2024-06-01,index-cooperative,0.9698101609443496,13,6.65567134726647,0.03638784191483718,4.034861624731276,5700
2024-06-01,yearn-finance,0.9879693013330252,17,7.59572720492932,0.020647495121001537,5.5998138739298815,52301
2024-06-01,balancer,0.9957875957393711,15,6.639636956916814,0.026105405731999414,6.173559861392628,47849
2022-07-01,apwine,0.936904216834601,3,4.982897915544588,0.12347143853885119,3.491169422548076,1038
2022-07-01,uniswap,0.9942336557684235,20,7.276313194309887,0.028976699007610532,7.610249127622648,312952
2022-07-01,aave,0.9752293450694917,39,8.865652153590215,0.011263343456220792,5.504760163462226,114687
2022-07-01,index-cooperative,0.9845727624723448,5,5.197141852110577,0.0697213003144448,4.778760125192423,4364
2022-07-01,yearn-finance,0.9848966762003822,21,7.643792332149643,0.015785936690895404,5.4917055493565075,48532
2022-07-01,balancer,0.9924633562093285,19,6.924780115956389,0.02746926388651791,5.810127939333453,40539
2023-09-01,apwine,0.9332657448472362,9,6.08713293452089,0.03809320906932188,2.8009116770551827,1119
2023-09-01,uniswap,0.9941912554870406,33,8.147319496284542,0.011042409989778703,7.15250842512366,362145
2023-09-01,aave,0.9742024554868937,46,9.198197125329695,0.0125057291069542,5.588723341233363,157067
2023-09-01,index-cooperative,0.9724082106135689,11,6.300103143782344,0.05280535280933544,4.127230520468104,4886
2023-09-01,yearn-finance,0.9858566615948386,20,7.826569951202203,0.01839229295382838,5.428654272448005,51721
2023-09-01,balancer,0.9903971695497279,16,6.990405399821256,0.04147860315331144,5.909923967367684,46878
2024-02-01,apwine,0.9291198035776131,12,6.347460457748736,0.030133742135884472,2.7011275889397734,1213
2024-02-01,uniswap,0.9940032215680783,32,8.163251556387836,0.010737428742339681,7.1826042173835205,377354
2024-02-01,aave,0.97250093141718,56,9.453077651781866,0.0108730026562422,5.464696703432742,165557
2024-02-01,index-cooperative,0.9721842419321085,13,6.578261890918393,0.027325956659835154,4.025708747718361,5353
2024-02-01,yearn-finance,0.9868160612675763,18,7.648338730861607,0.021596378281363786,5.56982613551509,52641
2024-02-01,balancer,0.99383851330953,15,6.767075428857242,0.03161193885488731,6.074447130207649,47336
2022-06-01,apwine,0.9368011088614527,3,4.867467042372913,0.14994149345564392,3.5614993891258693,1028
2022-06-01,uniswap,0.9944229513961697,19,7.195454208788232,0.03027950743162573,7.657805388706121,310306
2022-06-01,aave,0.9761736270012734,42,8.873226002889618,0.010102811865932398,5.4731920165303505,111708
2022-06-01,index-cooperative,0.9834038702018356,5,5.293169228701023,0.06788352318525159,4.721323170741796,4404
2022-06-01,yearn-finance,0.9859187073720596,21,7.493116608291366,0.018716764400628857,5.58431080898894,47961
2022-06-01,balancer,0.9931608490906728,16,6.737607889958391,0.0347386863473398,5.925755557513381,39971
2023-08-01,apwine,0.9371409460630424,9,5.980402462548461,0.03956930381260905,2.882015408510556,1127
2023-08-01,uniswap,0.9943053480558325,35,8.1524531417336,0.010791745402583467,7.141132640579716,359325
2023-08-01,aave,0.9734924804961588,54,9.379062210715814,0.009629758640073422,5.4523975720371,155355
2024-03-01,apwine,0.9279335948172597,12,6.402540102553126,0.02895897656078739,2.6670628277631585,1218
2024-03-01,uniswap,0.9941122649628196,32,8.146568165885043,0.010724040010928814,7.194332550931819,377416
2024-03-01,aave,0.9705664414852585,70,9.726107476409897,0.009584917507748942,5.2802253063500935,166350
2024-03-01,index-cooperative,0.9701893512057685,15,6.782515652050725,0.024073015418252592,3.89675397793768,5421
2024-03-01,yearn-finance,0.9868532691302976,18,7.677281737496343,0.020561256956328933,5.551605346597347,52738
2024-03-01,balancer,0.9939991493478032,16,6.834504584648471,0.02942560213634039,6.029249779704103,47409
2022-12-01,apwine,0.9470066075961538,6,5.2908265933733,0.060552609683549516,3.2699925451953975,1030
2022-12-01,uniswap,0.9931989050472947,25,7.681355034963179,0.022850284911994916,7.4550901316431375,354832
2022-12-01,aave,0.9685888660702163,47,9.377151623711708,0.009237462130640877,5.357520450311251,141106
2022-12-01,index-cooperative,0.9806192314554301,6,5.628678047955746,0.06214357974323875,4.513436638157301,4514
2022-12-01,yearn-finance,0.9800181136556365,21,8.06949978968421,0.015078885254944005,5.2870895248282315,53127
2022-12-01,balancer,0.9892184800607124,16,7.134769216839766,0.025939070249096353,5.741555726571169,43783
2022-02-01,apwine,0.9136951055630753,4,5.391763922103165,0.10455217823723575,3.2009985231663203,1031
2022-02-01,uniswap,0.9949381174716724,14,6.678097714529197,0.05016558840437282,7.983249627914525,300185
