date,token_id,gini_coefficient,nakamoto_coefficient,shannon_entropy,hhi,theil_index,unique_holders
2022-03-01,apwine,0.9929027068366371,2,2.201423481621247,0.3518859805918251,5.430634963647342,1050
2022-03-01,uniswap,0.9962677699459558,8,6.1783052715782265,0.07017283935651351,8.34553315782148,304982
2022-03-01,aave,0.9913897473060014,5,6.033034627327617,0.06528106518457881,7.4008384818185595,107218
2022-03-01,index-cooperative,0.9857599342556879,4,4.9210216340332735,0.08573255187977157,4.951883559927223,4285
2022-03-01,yearn-finance,0.9901360735935849,20,7.230163938296894,0.025178278174007314,5.738903328994254,46652
2022-03-01,balancer,0.9970161722957043,12,6.27385388742164,0.037973843000138924,6.21772909105159,38810
2024-06-01,apwine,0.9808182061896015,2,3.6349182554353243,0.21499063207785074,4.72683473978159,1403
2024-06-01,uniswap,0.9970310137577724,10,5.972625816172892,0.15059610926184686,8.713335203079984,382026
2024-06-01,aave,0.9898829917391649,8,6.8327540083384335,0.04981820579117343,7.2953471890229515,167955
2024-06-01,index-cooperative,0.980894322264299,6,5.648055793658507,0.09051950814447204,4.738187759620822,5728
2024-06-01,yearn-finance,0.9922009108569394,15,7.053974384433352,0.028630457503457905,5.976379366599554,52356
2024-06-01,balancer,0.9973034078522424,8,5.713230454189779,0.0979126410642646,6.817366446965512,47929
2022-07-01,apwine,0.992129377636834,2,2.5079542924308273,0.29133896565475037,5.218163996379929,1050
2022-07-01,uniswap,0.9962938217772261,8,6.131504902202003,0.08615436917727079,8.403820892323257,312968
2022-07-01,aave,0.9911736494989969,6,6.19398273440417,0.0634103703141133,7.3569690033137904,114727
2022-07-01,index-cooperative,0.9857839246386731,5,5.217170925415444,0.06691901604314617,4.768993202704373,4382
2022-07-01,yearn-finance,0.990178034290598,19,7.021797570017749,0.030252921570472595,5.923622147219313,48570
2022-07-01,balancer,0.9972755343078912,5,5.5169636649294045,0.10265115574816902,6.788169566726003,40629
2023-09-01,apwine,0.9874001363803708,2,3.2203288156013192,0.2224624881536126,4.805744124437178,1139
2023-09-01,uniswap,0.996932382527334,8,5.999400869260366,0.1377686943123534,8.641392912819951,362167
2023-09-01,aave,0.9901585773441895,8,6.743583858782566,0.052716161764039864,7.290468985003598,157120
2023-09-01,index-cooperative,0.9829499511317579,5,5.416370532073727,0.08371390089979505,4.744687257613695,4910
2023-09-01,yearn-finance,0.9911713513034623,16,7.153173903878524,0.02923559534434329,5.896479676889789,51776
2023-09-01,balancer,0.9978006715599238,1,3.8586884763393403,0.32737775858382806,8.082625340987281,46970
2024-02-01,apwine,0.9854836544918537,2,3.3575631806607538,0.2188256737593283,4.791540796835194,1235
2024-02-01,uniswap,0.996918145557298,9,5.991004857984813,0.14121348055806204,8.688362440154043,377381
2024-02-01,aave,0.990018075730138,8,6.7718759537252415,0.05293642917922881,7.323490219421676,165611
2024-02-01,index-cooperative,0.9826520199789762,6,5.527439600750776,0.09003118561487623,4.759114478180039,5380
2024-02-01,yearn-finance,0.9916305368957589,16,7.163990590252635,0.02597002331025891,5.906594951128933,52696
2024-02-01,balancer,0.9976271126763737,2,4.554760517001387,0.23298265439906563,7.609679949134127,47420
2022-06-01,apwine,0.9923715316331709,2,2.4607285144342357,0.3004889605316234,5.240366959195676,1039
2022-06-01,uniswap,0.9963393891612528,8,6.158133874735563,0.0800485975247676,8.376872614269471,310322
2022-06-01,aave,0.991411063393243,6,6.210742172834121,0.06189072123929708,7.319052137605193,111749
2022-06-01,index-cooperative,0.9847452099138725,5,5.268217778760223,0.06694237433425658,4.742697061493963,4422
2022-06-01,yearn-finance,0.9905992083272323,17,6.9397623344934365,0.031236480836841267,5.968637926445054,47998
2022-06-01,balancer,0.9971068830979228,8,5.903647255380373,0.06733516568794426,6.505962268659725,40057
2023-08-01,apwine,0.9874128751105229,2,3.2178348055467905,0.2226422178983637,4.8144719941569525,1147
2023-08-01,uniswap,0.9969574157670789,9,6.003161174435977,0.13772466509273254,8.630969531947661,359347
2023-08-01,aave,0.9903706347835718,8,6.667152711399681,0.058258706534154596,7.332497526027306,155409
2024-03-01,apwine,0.9851501703494413,2,3.3799089828612243,0.2180035866872107,4.780092276579595,1240
2024-03-01,uniswap,0.996981300284647,8,5.964892802139122,0.141042026489727,8.706623565337859,377442
2024-03-01,aave,0.989907391164946,8,6.822755634827266,0.04884934857483471,7.293000013611861,166404
2024-03-01,index-cooperative,0.9814447167819346,8,5.655962046521099,0.0884148024509371,4.682589701929192,5448
2024-03-01,yearn-finance,0.991701394447404,16,7.129966818438699,0.027267631392106344,5.932017487461086,52793
2024-03-01,balancer,0.9975940125708863,2,4.660042819072404,0.22172385967482533,7.538242069413234,47493
2022-12-01,apwine,0.990165356081078,2,2.902128926999035,0.2412943866408617,4.943036381510148,1048
2022-12-01,uniswap,0.9959615826763623,8,6.130982695794004,0.10635408697316304,8.529782710470121,354852
2022-12-01,aave,0.9892890998066949,6,6.463056591424629,0.057405784785981344,7.377764402217432,141155
2022-12-01,index-cooperative,0.9847492444662884,5,5.370505653087794,0.07062507486725368,4.697029510930186,4535
2022-12-01,yearn-finance,0.9877243726734445,18,7.21962633450634,0.03273700744105313,5.877004775460387,53171
2022-12-01,balancer,0.9977212254871007,1,4.21784546199603,0.2619602181078837,7.765717377917272,43884
2022-02-01,apwine,0.9934122380047974,1,2.113376713383489,0.36343419736237065,5.4840161119705035,1042
2022-02-01,uniswap,0.996264793232885,8,6.2168855239766705,0.059194995732241976,8.30298752537313,300200
