Address,Amount
0x709f1eded58f310af8f3b40399695383b35309d0,1910400.0
0xfece4fc28bdee14e72df795222798701adb02acc,534073.8965340354
0x99be63a273a050a67f043ecd106603a6faafecae,284547.7359092044
0x15b3ad7583ecf1ead4b44b0f383427d019a954ed,240658.85785115705
0x092d27c7b3a55ff617005e5e31406591b8674c44,240000.0
0xb84501efe8b7d824329ac9ce76eb5a48372bde22,238653.48632377016
0x0dc874fb5260bd8749e6e98fd95d161b7605774d,213779.26132039574
0xb753eebaf9deacb02c836950dae2f9e58592638a,208307.94794254086
0x11ba386d08b622ca75f15d1ed6e716727aa27cdb,155410.7877339466
0x2a88487328e89fe6c3b71706069715f301f4beb4,146235.0403743349
0x99611cd42b6281a9cbdee97f9e4bff51a8b1c5cc,135000.0
0x1255e17fff07322231a4124bb455c85d20d0a2c4,104660.37996438752
0xfa8343c666c7b4e617e502c7070a31c52d5a46ec,100376.56918545358
0x89b76bdda22a59014e7c67a612ca80dad957e13d,91829.00216080522
0x7a6dc361d8739b6fd01b4e918dd6d7f5d0580826,91621.70759349993
0x3303352577a458daca2ef3e127787ed715137298,87363.47281774397
0x8214de46fd2d0efcaab33b77cf2662c44446cc17,84630.30853786644
0x21c0d45e3c1a4430c4be2ee9109bc788cac0ffe6,78039.76498184128
0x2b7403bdb196fa5fc0e4f779600a084be0d8422e,74300.11121265792
0xef466f6ddfc6dd9f2db267e943c6b8a292653d36,71073.56158191919
0xf20b5657e596c1a3c75540960c66c609bdf1b171,66586.64515878669
0x7a0dff2a955b72159650300a9acef97146dd12e6,59248.213163062326
0xaf00740ac83290211c0c7729dc3063c90fbf5faf,53459.93626899719
0xf2978b5dabb93964410fb0394c07f144706a2df7,52999.999971139594
0x233530c67a69f4ede1ebd45321d4990b4e05ff4c,51561.71855617509
0x94db5282b2a766573aef88c69b2d1baf969084ac,50190.93589599628
0xd880507d359af862a5f8f318c8e934ab478ca818,50000.14087471546
0x77880222c4a4756771c587765bb2f0ac1157e5c1,50000.0
0x7ac159f266be93e67c24f91caf18a42be711ed12,49833.045442647184
0x746c9a9ba3e6c5f9f85ae83865d2c032f26e1af1,49738.91014089863
0x1ef174dd40b5a4ab1d23cf2a9c0eaa97fff24ba5,47863.33012511272
0x45f00158954845c223ce09b91f6c5c5b89411526,45354.69077434973
0x3841d84a5ed84bcd6261c49d656c4815619cdb45,44436.45134142389
0x24671af606791066d047d4617847329892162ed3,44011.918574059935
0x2b01f0d8d6aadb6c999ee5d61ebcc0b20bc1cdfb,41541.41550679603
0x50282be38fafb56c130b140493e471ae32c35ca9,41195.9953604488
0x4f3b5f063a3f3ec2cc0ef3a769820297d469d3ad,40116.0
0xb2f44ffa376dea81b57e6ae9ae16857e64dc897b,39000.17330901254
0x83febcf72458393a3957cc9793a9f04ff59a3d45,38106.86958149924
0x68422911ea1eee76d43dd6e63324346a42c90de6,35339.49506653628
0xc5200d72e6d3cbb471a6692d7425abe3a0c781af,33190.64284810961
0x291c245fd1e5ecada53166165838ad19da79a881,32923.06522816586
0x67ede0aa1b00ae4f5b3e7c52e1b336150554745f,31395.849840931696
0x056e5d920fb3ef4c7b0ee3c039802470ea8a3661,30068.93205144294
0x329c54289ff5d6b7b7dae13592c6b1eda1543ed4,29930.758015029158
0x5f82c97e9b1755237692a946ae814998bc0e2124,29309.41550621217
0x3cf7654333cb7c24eff8e21d7a6882ae3a057759,28830.808029174805
0x191c3a109770100b439124c35990103584a62f1d,28529.259865937074
0x99bf771e442b6f3a82cbefa52193790686b8818d,25573.969445340637
0xf62ada6eb3747323cbbfa89acb57cb8e231ef8f7,25333.0
0x97e3a0a4082c9e1836140bf2d4426f30fa1c648b,25049.3700456501
0x16f75aa4bcab8a8fda2bcab023ca1ae581453ac5,24983.040640207637
0x0cd27bb5a484aab857f8190d6415bd2f496472b8,23908.0
0x11a2cd82ec4794f4fc3ec5fffbc8d0a1416a5d51,23493.61147769413
0xbcc181046fd96ccadf0cebe30d4ff67d4373a126,23463.30514657462
0xb9665a8ba6e62204f54850a23135a92024b676d6,23053.52363205416
0x539caaab219b81d65085ddaf468a13cac491d12e,21672.36423182955
0x825bacb7fab158f4aa5c44208a2c29d1dfeb4a43,21215.0
0x0b05dcb04f7c4e4f034c069b9ecd50b7a9468e49,21181.150212099914
0x4926a5d91cf82fa80087d9cd002b8a3d4a5d6f5e,21112.76419198236
0xcce810ab3fa880eca2ce8c00bf5cc9f20cfe0783,20836.936685574226
0xe89f5b07a11b77785cd4bc51f756d2a734031618,20827.694117960433
0x352a0500b2b2cc68a7fe73784e1428a806f8773f,20589.244206489624
0x758cb30517b9b80ba4d617e5258980c974d14565,20025.896091151408
0x0fc69323e91db5e229d1afaa7d5cdc29817fe512,20000.0
0x076b258a9e07e3e2a5b25e8ae12e9abc1a4ce0b3,19973.318305948836
0x485f5df0654c8405d6124821e95f093adec1b16b,19721.294475337214
0x107ff2d8c2b65baee73bdf9ef47c470cfa5ad4e6,19215.793987083132
0xc699a413d0917e2d639d5ed577792b1d17e0b3a0,18647.0
0x13f0bf645e128c4f7fa3465758f8b77110ac0583,18155.42080267924
0xbf4ca3fc4a64ea89a503c0cb47f4b8a0a2b3a136,17120.47055131289
0x7ef1b4d0d7bfef10d66a82e2a7c30639d40d1326,17041.171102199947
0x437687213bcc9fd93c08c5596b6acf25aae63023,15911.0
0xaea8c6444a5e4efd738a6ec51f3d0ed0928c110b,15760.677407422858
0xbfe91fd8d3506a1bf973114271747019c01b41de,15705.80641121314
0x8ebed0ff2b0232b0aedbfe6e9c0f72ac72577869,15353.220158849097
0x1460d20f27d521965a9d2ea5108709d56dc73607,15214.78406675528
0x1daab53a95e27fdf1c3bf814ad4699095d081152,15008.819628381612
0x79da4dbfebfe8b56c183643f192df4bcac94d583,14951.490496505758
0xd2522c9d1d31784102b944ca314b6a00f6106dd2,13165.663656833902
0x7b8c9c60e3aacfc57c6aa717e1f426dea6c79d72,12826.973513509447
0x531d1c7f871e1112c88135e95cd2e98a9edeb65b,12754.553949155561
0x8fec806c9e94ff7ab2af3d7e4875c2381413f98e,12653.899085701323
0xaf026a8a003cc9f3ef6524e19746c9c1bfd83315,12505.734517859702
0x27a33493c7430574c4d8cd2d45a4a709cc8176d0,12449.940436259072
0xc02ca57ce4fd197bd34877791be417b03bccc049,12402.454248328817
0xb9a41231063493527c5d0a1ab1467863871faa9f,12246.465891555681
0x573ffb78679f3d07f1dd3228dd62035061dd97be,12135.19613847582
0x26235a422c82045bd0526a09d23fff563f306abc,11983.529812987681
0xf7b53f367223de357e062fd943343b4473b83653,11730.381237346277
0xb34c450ef0d90467b42b54632ac7d7f584bb9206,11634.267390619209
0xc8d46eb7881975f9ae15216feeba2ff58e55803c,11545.552111122855
0xdaf02f3490ff5ad4762c0c019ab2510b5e456543,11505.945248902526
0x02ee94f0c83a405badf94f5989dcde609296c540,11097.446351432696
0xca7c767854b1e7305de07247ab85e30543d1d9c9,11083.87864622076
0x0c1afc2da8d1df58ce884f875e2e667e2639524f,11000.44991033199
0x19dfdc194bb5cf599af78b1967dbb3783c590720,10909.454925688242
0x5c243f3f01a8c0284c218481ef21a6db68a8a2cc,10907.70811746793
0x34f4e8c6ff75c4cdf1f78f74e4c12307ae5346ae,10852.364778385247
0xfb27ea9e342b90d29144f2b02fce921ebb259b67,10766.444451377565
0xa06651299b9faf027b139a7206b749787ca90508,10756.823493453356
0x2a7e86f90215062ad6aac678a3586b3bfc73cd9c,10589.978629037932
0x631ea73794462cf9bf0a8a7ebf581c062c535b59,10561.399521594287
0x31692895da33e099e2ef78730c225cd2d38b1084,10540.974731019955
0x02652540af39b4e8ffcd6e7e6691d8e6457d62f6,10539.917943806295
0xe0d91a3e9266a25fafa978d29fdf692d5aa79bae,10396.583166120776
0xc0471f8a0ca9ac3e234448344284dca8e93e0b58,10343.362919334277
0xf71825235001ee58fdbe50aaf752656b4152e3d4,10256.453699082078
0x13514e3875a6bcab2a8f3aff6554910cbe926372,10233.950252475193
0xf47e3493991b05be2ed554cce0442fd1fb2a6436,10112.542455196855
0x5ac69d8beea56f6bd046fccbef4a170d5dc00d23,10033.331752948967
0x4f26fcd654d1a510c1f2ccf128014280218b1932,10000.555053847294
0x221dc58e1bf33818d151456427833c4213caf04c,10000.000000000753
0x634be7f3d7949ecc4ab5b1b50815ada75e2dc295,10000.0
0xb286a69751da07df31eb2f9962bec077f351b0b1,9927.834440231323
0xe4cdd39e032f5a06ea57a5f1556db318bab4ac23,9855.83083676029
0x59bfff190d02762d1fc5f9635d6aa34b1359306b,9661.468891749497
0xdf1d85b68df38c6baedb3831f15e7f1f155b1a3f,9496.669990303906
0x045d84eb69e62857c9ac7078a91a33eae16c0ba3,9400.165553092194
0x78f1b4984ea680615347b2df8164b2824d3c83f0,9276.952647167642
0x3841ab2f0da8b6da02b676d2e41e28ec338ae000,8968.406402046736
0x61b6059cbcc864aeb4165a285433b28cecaf7688,8958.305076186676
0x9ffe85b4571ee27f375c4fd1eb210698d3052b5d,8807.838261046503
0x94be29106b1af30cca46212a94c46a7f9814d986,8775.331598423765
0x4e66b05059dc5daefbb015bc81b8e9cadfa11cd9,8750.751814127645
0x7cf9f878942489b7a1725d628a9e59fb1b38ab27,8679.17412273008
0xdf93a8253ca2fabdb8d1b5c19fc372f3f9a49284,8496.701984063762
0x11e1b440e87d6a8c14620f06213b9e218a286271,8174.37723260761
0x4b81d61a7c522bf6cd6d3573353f21aae28e0cc8,8166.444189902844
