Address,Amount
0x9467cfadc9de245010df95ec6a585a506a8ad5fc,2037216.906392694
0x476cf198afac0fb13576f664cb49e5e658fd4322,1233257.8492407016
0x9b52465793cbce01debd9b3c2b029dc69d19d255,1024998.2458272364
0x71f2b246f270c6af49e2e514ca9f362b491fbbe1,491483.32540588535
0x236815b32b50cc80f5c6348396b1a9b09fd3e7f7,449748.0806550718
0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,294418.50224984984
0x0d627ca04a97219f182dab0dc2a23fb4a5b02a9d,289716.4865550482
0x668fea489c4b03b95f171d490939f0a4bcc071a5,191190.04649155374
0x1d1a747389a8bc7b55911e4bfcaa5547889501aa,188662.0687776021
0xea2549af809ece7bbf58215f59f483714bf2e8b2,187334.50058336224
0x4f3a120e72c76c22ae802d129f599bfdbc31cb81,177343.2486371322
0x5abed1844d09dd6422d0a2446045ee230fb97506,126281.98469750248
0xc8b4f75257ae8bf9c16cd59ef87673108d28cf2e,119676.74896187695
0x70044278d556b0c962224e095397a52287c99cb5,112921.68601022224
0xbbfe30a28485a8bb1bc26c28c518497f2763d502,104676.88365883133
0xee05a01deb017653e93db88d48b30aeb0da70b5e,97076.0476590903
0xc29af06142138f893e3f1c1d11aa98c3313b8c1f,93979.90542577779
0x535aac71fae5eb1019b600ebc6c2a8639438d7a8,85411.67389531218
0x5c4c0140b02a3bb0a3615106ae5c2cf6851a7d2c,75000.0
0x5c655079b06db55932b0d542103887534d435d2d,75000.0
0x4ec7cdf61405758f5ced5e454c0b4b0f4f043df0,68569.35957340559
0xda5167ffca51e72703dcc2c0f2fef1bb3a790fa0,55554.0
0xfc3bf7918ba967f3dba6b60a29db990cfcd3da63,54956.66191203849
0x333160085420043b5d021e9d91f0056bb8b428e3,54089.07737337651
0xcfc50541c3deaf725ce738ef87ace2ad778ba0c5,53681.900547327896
0x03dce5fa9e968ffb6b64e781d11422228c86c368,51418.469915621405
0x8c13148228765ba9e84eaf940b0416a5e349a5e7,50056.20016327255
0x5f65f7b609678448494de4c87521cdf6cef1e932,43612.99771782518
0x2dd8de7cfe9d34a1d03311a6231154c107af8c88,43131.56426116362
0xfe48d2fdaf5c2447d7e39c5b12ac4e49d1f6a0e7,42899.66624112317
0x27f361bb92e4455ae9f7deaf341078cb93e5e85d,42737.10481815623
0x9293d0da4d4a0823e44fdad7f04d2311d8250667,41650.32457350533
0x1c0456a2171b7051ecfd0103b339f3e0ada377d3,41226.0
0x9fb64b232dea3ba6e020f517b2bc8afd0145880c,41223.67248167
0x0f58793e8cf39d6b60919ffaf773a7f95a568146,40000.0
0x554c4e2ed87c6cc19ebf5311103c3c91401fac8c,37102.14735869
0xdd111f0fc07f4d89ed6ff96dbab19a61450b8435,37050.0
0xe74b28c2eae8679e3ccc3a94d5d0de83ccb84705,36857.360822010814
0x676eb0dc5644dbcb2c37849ad76432a73af0b582,31279.074683887608
0xcc85e20c2a7e85f25ee336dee87284355d9dfc84,30919.83
0x2f3a28df7f031695c52c680a4f9888d947d666b4,30918.0
0x55c316dea64d0b6ce20eab843c821a10e3bdb91b,30918.0
0xe02414c7ce37b6cacd24bd07c4bb9f1d6d499605,29537.07
0x2e2e801ecca291f61bcfa4e127e84853fb4ec9c5,27633.8251888745
0x5a3cfd128745be2e12225fb785ae6975ea3d0b35,27271.60613578268
0x638fd5f1674d05e0b5cdb010c09ae1fef0095704,27260.96
0xce0dd00aa80e8a5485070c8fea9f110e2f46adac,25970.43736660428
0xaa12843194641775aff859c1dffb3542f46f4808,24252.89139032037
0x77843ea21a4cc006766bba8bdefd934cbea20f4a,22500.208389076335
0xef5b98d078c64316acba63824f15a616cde160c7,22000.00001950177
0xec5bc904abb557781b16435e344a59d2218a6e17,20612.0
0x0e800b09cbc50e2ccbb01c6a833c56ef692f3e3e,20612.0
0x89da9eb32da60fd8ebde09824cf8b0eec66c8d40,17735.92865497076
0x3ec596c117117319162895579757839566a7dbbe,17322.11312130603
0x03b1ee189c107bec52d90cb18c566b23a585353b,16843.445613363983
0xa8ae43a732ff3d911722298f27cad75e550590b6,16584.86576397467
0x80d9a69b18ac13dc31700b8c312057c8415ba6b6,16537.44163495
0xb70f6fd78d41fe251e77de5377719af85d323483,16312.906297852214
0xa73df646512c82550c2b3c0324c4eedee53b400c,16276.712903689651
0x22fa8cc33a42320385cbd3690ed60a021891cb32,16000.000000212396
0x48778011be66236f8e7fb9933496167852004668,15648.21047656121
0xcaa05aad8ccbb88d72d1339ccfcfc5395d494e09,15551.241314725406
0xebb1cd037a1c8390a8055eb656899e7b3e0513fa,14973.311174816834
0x17df44483db7143116f5671a699e41b403067db6,14711.55791959248
0xb8a9a55c04e88c4a2ece06d794bcb6574706f1c4,13592.614811125499
0xc290cfb8d020c0615e9c63036f4319cc41717e68,13241.400356155653
0xb75fdb88ca27931620eef02b73c1191c84ab920a,13192.386277799204
0x19d7921f5253d5e591d96bd331f64ed0ccb0ca05,13028.38204231436
0xb78e83570ed1637a4e3c41c93209d155a51d3bb0,12970.246012920921
0xb62afbae10e411ea7994dab7480ebbdd1b7c24d5,12721.751251059322
0x75b21a583c7ac7cf64193b62e73dc4c597c5e7f7,12366.311861910559
0xcb443b660f8925a1c32673b90ab7193880c3fb08,12306.801039581558
0x716fd7a421b7eeac5d5c658ddc824656e3e0f526,11880.056398554188
0xf0bc8fddb1f358cef470d63f96ae65b1d7914953,11744.98134392708
0xfb7c1d49e006eaddff2385c7ef8b0c5cf49d038a,11663.884072139143
0x96e3d09a600b15341cc266820106a1d6b4aa58c2,10977.33935090959
0x026fd30023d9199450883b3c7f82b7c9ebbeb2f7,10576.587055314012
0x378698d858029f13f9855c42a6f6668e147ed129,10403.564408156808
0x67fa8e6b6a17b2d5f6167ebcf4d3fd5d318492bf,10137.084028954481
0x409411817b3c5c752a84c777ebe1c19d9d4aa209,9982.52901175375
0xcb2cd1c1ac5db07380b68587c2fd33609aef0c47,9890.68312027667
0x6597fc0c312c0476ab66da465a7c3741f96d05c5,9486.438393199825
0xab62d62dfd41da12275dcf49d4d581ad79e3fc26,9434.477569191862
0xae6ef687e55ccd6ec96d2bf6e67fa51819193afd,9078.754073129012
0x942ee44ef3a64e21ce55ee8513b698e7058722f9,8808.941073246986
0xc5a41fc9aa77036fed0d2a8ab9fe9787582d16db,8681.189948610758
0x043e11af9a4797a22f5bfda414e5613d6f005eab,8653.499560660508
0x7e85b4eafba29de0584492db667b11dae56beaf8,8422.898223637356
0x7833ba760d9fe0085e39c490f5a8c66565770ca5,8244.0
0x54678f30b5fcab1b01c3a0f6723c2ab364d03a8f,8064.460011
0x0a7c2d6cdb7d6de8195be3bdc03f5f959412e101,7999.9999947279985
0x5532caea445b4a14126b67ca4a300c74394e5094,7880.870190392113
0x338d192230e3df3bdf1a2b78ec116dfca18ce239,7858.513557813612
0xdebc61576f3b1b3a6f4f56adeddbfea49737d0f0,7405.063887357382
0xa4375b1f647d5fcd97a2e1514517c85e3740c8d9,7390.058178980801
0xaee146b0442e718d00dfe3bebb5bf0b91a11cbac,6921.247267164337
0x31e8e47cc15a16b16068d8183da7a9e7132804f1,6900.498013990106
0xa5fcde36a7a19a97619e8cd59fe5dc5a1b7a63a8,6786.135517475375
0xa9d38210e5ae92a4d1b4b38402ae189d4c07bcd4,6517.842933858503
0xaa806f0cc57e8c533c84c84fbf97ab3386efcfab,6427.700814866537
0x8b973db7b174a14cfaa64567f970877f6a83b105,6201.007658250348
0x7f953f11343408ebccaecd04eb0d1e6bacdef87f,6114.858830409357
0x2dea637322de8b8570bd75be1289576c95aaf83a,6000.942754438459
0x1bd4e7be9bdd7249a185e4618122b66c3311338c,5926.99416
0xa796e0a27d3c9401db35187271fc0059b94ca088,5907.03805835803
0x465bafac3c5c623a46a67c7a440a81d596da11a8,5723.348016086539
0x5e810c7f0065f6295adabf3203922f77b14ee099,5652.23457204619
0x36690e41c493def6dc4140b29e9c4d84db9a0b03,5392.639321309228
0x31ede558b39b2fd747251dcf2613b7722ba2fd2f,5226.3989766081895
0x77fbd7a41cfab09b273c12ecf3d217688fade9c5,5218.977214450954
0xd6caa884288ae76e3531fdbe866af6c9c4b192fd,5184.469004850855
0xff6623d3ccffcb0fbba00d177a4fdb809243dfc7,5177.330027010966
0x4aa1a832c80de53ffd1811eacb29b879c94e555d,5140.2601858739845
0xd3d7e517eac437931cd06672198ff55fbcc0496d,5129.21546705019
0x73286f355b8b8459175170420ac4d3dba799e6da,5114.984385964912
0x4b4d5633d8c2cc8e80d149ae0660cd722a55c8ed,5061.390605895482
0xef35b896e1c6c816177277924d04ead587bbc495,5060.0900305202385
0xabea9132b05a70803a4e85094fd0e1800777fbef,5016.604985343182
0x7c182e1baec31d884a16e0dc53f33510025cead8,5000.0
0x53868ea806358997dcb885a9dd0464d28df0ed74,4963.161176386251
0x2ca7eae980b0d71c453bcd15a5aaccc9884465ea,4927.594836219819
0x8000ee54209b34096906161cc4c9cc44587f61a7,4878.5319953494145
0x48af2bd40905f8d48d187ecb3c6bbc19ec21c795,4560.634748196527
