Balance,Holder
{'Amount': '174308.719676095460676938'},{'Address': '0x46692225bd0c88f901b88fd279a1d59e69e23a3b'}
{'Amount': '172257.628506277092176400'},{'Address': '0xc9cdf35e2cf93df9e5313a979e54ba8887a4041e'}
{'Amount': '172257.628506277092176400'},{'Address': '0xdd2fb90869fef74bb728d201240ceb3d28d92b6b'}
{'Amount': '157500.000000000000000000'},{'Address': '0x2509dc0b4d696a2261d47307a017f88f83295029'}
{'Amount': '150000.000000000000000000'},{'Address': '0xd4d8583fdb310107dc6f936db23b2d0142139ab8'}
{'Amount': '150000.000000000000000000'},{'Address': '0x40672889535566711346829a2dfe16e3d060b8be'}
{'Amount': '150000.000000000000000000'},{'Address': '0x000844e0f9f187569d2e8b49b8260fd4a24328fa'}
{'Amount': '150000.000000000000000000'},{'Address': '0x4501042eb39ae9185919f94533df5324d8232be5'}
{'Amount': '150000.000000000000000000'},{'Address': '0xf0bc36fa47a052b92da4f50bd042d9e047192a65'}
{'Amount': '150000.000000000000000000'},{'Address': '0xe2c1c3fd3e5d67473dbe01fc9cf8f73624f778bf'}
{'Amount': '150000.000000000000000000'},{'Address': '0x4279ffe314dbf5d8fcced919235a72003f871f14'}
{'Amount': '145576.592606178501343016'},{'Address': '0xaebfe1e1bd01d4b6baf4b998e7b8dc93182d40e0'}
{'Amount': '142833.411160875106062208'},{'Address': '0xdd14f3b17c08f9183d5390c31280bbb321491bda'}
{'Amount': '136685.089231684986560173'},{'Address': '0xef287b8ad0ead84a6c7007ea56c6d46fd06af1a0'}
{'Amount': '135000.000000000000000000'},{'Address': '0xd4b46b14604f8ca35c8e80e497a3f22b85752149'}
{'Amount': '130869.536947828844609468'},{'Address': '0x2faf487a4414fe77e2327f0bf4ae2a264a776ad2'}
{'Amount': '130000.000000000000000000'},{'Address': '0x4a49985b14bd0ce42c25efde5d8c379a48ab02f3'}
{'Amount': '128567.884543939032707640'},{'Address': '0x9dde0b1d39d0d2c6589cde1bfed3542d2a3c5b11'}
{'Amount': '125000.000000000000000000'},{'Address': '0xcd42a6427df188ccca1f995b229d990278bffc0d'}
{'Amount': '125000.000000000000000000'},{'Address': '0xf8c98cefa0eb07815085ee629ceba37f3dedd47a'}
{'Amount': '125000.000000000000000000'},{'Address': '0xca3cd338242f2bb6101ce6219ae1654def1c3537'}
{'Amount': '119337.921079176431643600'},{'Address': '0x130a0c04fa302f6f670f04cc0ccc8b1ad240c468'}
{'Amount': '119337.921079176431643600'},{'Address': '0xb4fd16529ae8b578d7d23e8df5a900e130861b3d'}
{'Amount': '119337.921079176431643600'},{'Address': '0x59b4642dd7708f84235072a8b9c0cc0b2cc24bbb'}
{'Amount': '118287.493734933846223400'},{'Address': '0x895d4bdc04520fe43685abf620af2f37e41ece85'}
{'Amount': '117288.112135309472964710'},{'Address': '0x6cc5f688a315f3dc28a7781717a9a798a59fda7b'}
{'Amount': '116801.168421811227389088'},{'Address': '0xe08a8b19e5722a201eaf20a6bc595ef655397bd5'}
{'Amount': '112245.156630621360389939'},{'Address': '0x3c221e16a342a5ec114f7259a37ef42b0597c251'}
{'Amount': '111738.217652370000000000'},{'Address': '0xdfd5293d8e347dfe59e90efd55b2956a1343963d'}
{'Amount': '109420.173763970731936211'},{'Address': '0xda6b2a5e0c56542984d84a710f90eefd94ca1991'}
{'Amount': '102040.820000000000000000'},{'Address': '0xe3de5022445ee864cc14c303b09efe3a683632a9'}
{'Amount': '100000.000000000000000000'},{'Address': '0x6aee9dc09702dffab334f3f8e6f3f97c0e7261f4'}
{'Amount': '100000.000000000000000000'},{'Address': '0xc9cea7a3984cefd7a8d2a0405999cb62e8d206dc'}
{'Amount': '100000.000000000000000000'},{'Address': '0x66c9e1e4fe518cebfe59c9de16e1c780ef5bacd3'}
{'Amount': '100000.000000000000000000'},{'Address': '0xd519d5704b41511951c8cf9f65fee9ab9bef2611'}
{'Amount': '100000.000000000000000000'},{'Address': '0xb3663692e6e3298ed8d03700f1c5298ebb47a003'}
{'Amount': '100000.000000000000000000'},{'Address': '0x9b71dbccd9ffb858899ef3244b09a5354b16048e'}
{'Amount': '99990.057658293487913535'},{'Address': '0x531bb31a7b4b320e16af2c855b9fe0c0b0806ff2'}
{'Amount': '99826.893928158841196070'},{'Address': '0xf86e9f9331fa122d495236df0bab70b66b55e387'}
{'Amount': '98927.906284871354079885'},{'Address': '0x54e2c802ffc9b6a6e796ad831055146bc31276cd'}
{'Amount': '95517.304471005262686843'},{'Address': '0xddfabcdc4d8ffc6d5beaf154f18b778f892a0740'}
{'Amount': '89615.085727917517278528'},{'Address': '0x59a19d8c652fa0284f44113d0ff9aba70bd46fb4'}
{'Amount': '88945.904617831306891576'},{'Address': '0x5f65f7b609678448494de4c87521cdf6cef1e932'}
{'Amount': '81254.608010820000000000'},{'Address': '0xe93381fb4c4f14bda253907b18fad305d799241a'}
{'Amount': '77202.827288262820819958'},{'Address': '0xfac58bcb27dabe2077aa807fc47b91f6646d4b90'}
{'Amount': '73813.117312470481940081'},{'Address': '0x1d3d771ed39113b3ad457af22104bf46ff8ded9b'}
