Balance,Holder
{'Amount': '10456.330069715429120270'},{'Address': '0xdbc9af0b86644006df192eb7d2d29c6378024aed'}
{'Amount': '10034.093240900702186775'},{'Address': '0x1d33b482946b0fd66fff2dc5af8123e1f4aa25f3'}
{'Amount': '10000.000000000000000000'},{'Address': '0xbb179f078bac0ff4f181f6e01606ccae883ef74d'}
{'Amount': '9797.385358603798514065'},{'Address': '0x82684bcdbde511e7026c1e7282cb85d6ce70990d'}
{'Amount': '9731.708255767822860288'},{'Address': '0x46ab107b3632fc7140e7b2294e5d803774eb9c88'}
{'Amount': '9400.165553092193734001'},{'Address': '0x045d84eb69e62857c9ac7078a91a33eae16c0ba3'}
{'Amount': '9276.952647167642269227'},{'Address': '0x78f1b4984ea680615347b2df8164b2824d3c83f0'}
{'Amount': '8958.305076186676789906'},{'Address': '0x61b6059cbcc864aeb4165a285433b28cecaf7688'}
{'Amount': '8807.838261046502604901'},{'Address': '0x3edbcf9729ab2290756567762934e5c784258e4e'}
{'Amount': '8588.744195938110668800'},{'Address': '0x19fd99bc64a2b7802a1b6fba4ebb3b6f4d165657'}
{'Amount': '8451.194074747344868040'},{'Address': '0x7176986f77c8bab5dcc1d2182c7592f02382d770'}
{'Amount': '8137.770698848081784571'},{'Address': '0x7c61459c968b2cb033dd9a348159af512e94ad4a'}
{'Amount': '8118.000000000000000000'},{'Address': '0x0cd27bb5a484aab857f8190d6415bd2f496472b8'}
{'Amount': '7954.369928424656598101'},{'Address': '0x4beac9cf36e4ab5d44e384382bcf27b1004d27ae'}
{'Amount': '7744.977899178046831890'},{'Address': '0x6bfd30747ba72ac7bb2f20d6138e1312020fafe8'}
{'Amount': '7580.846350721175213630'},{'Address': '0x1813007a27affdd39a0585707cadb97fe864fb90'}
{'Amount': '7579.151938875330146512'},{'Address': '0x8c534ecc397d4c82607aa36e046ac127c2b0e510'}
{'Amount': '7500.000000000000000000'},{'Address': '0xaa391b954f9b201d12e316db2f979cd7c460d0f0'}
{'Amount': '7479.875355158683277114'},{'Address': '0x989225f2f9ba272adbce6d579232c4113ee998d8'}
{'Amount': '6986.552111122855266387'},{'Address': '0xc8d46eb7881975f9ae15216feeba2ff58e55803c'}
{'Amount': '6847.055854043068021545'},{'Address': '0xa1f8d448bd883a9a56b08dd314e130344ed75a0a'}
{'Amount': '6363.172903647055240084'},{'Address': '0x6247bf5f0037a090dc33b74d5357ec46547a9ba8'}
{'Amount': '6298.551150026271955924'},{'Address': '0x9dc6ca2cd9ab7c38f64f7e6d8607a55537c23ca4'}
{'Amount': '6000.059312231651154275'},{'Address': '0x9bc7a5ee86c800dea4560117f53773c82d6298e6'}
{'Amount': '5962.727018861370338000'},{'Address': '0x6d496477692320d67b8f211ede5097f3c89abf63'}
{'Amount': '5855.052329742440668448'},{'Address': '0x14c6150db396ff57007f01e4b560d16c72905e51'}
{'Amount': '5747.500000000000000000'},{'Address': '0x75739f3ea48442826c582128944b97ede0e3cf4a'}
{'Amount': '5442.727189303599688467'},{'Address': '0x1460ff91cd0c6ff7b87648add3716c8356afd66f'}
{'Amount': '5424.136199869517432793'},{'Address': '0x4f8f05349751f5e0cebc14f22d2ba0d94d763bc9'}
{'Amount': '5409.202963094237836061'},{'Address': '0xb54db321bb821bbfba2d49ff8cb19a9153ae3c53'}
{'Amount': '5348.551626611084926389'},{'Address': '0x725f5ea0d7fdcf7e0316cdee18dbd24225594077'}
{'Amount': '5290.799482126258704926'},{'Address': '0xe2ce7c0b90c8d47b5337ac2d2bb5122b2ad13107'}
{'Amount': '5271.000000000000000000'},{'Address': '0x34efe5b6b61910aa53471f78ecc01b05bc61625f'}
{'Amount': '5258.994949143912135024'},{'Address': '0x0ffaf8e5543cee0629ea3da2a0712c12930627c6'}
{'Amount': '5244.590587248112217521'},{'Address': '0xcdc2f106e9694b16ffdbfce2a2612076ce44b4fe'}
{'Amount': '5227.656908971831928608'},{'Address': '0x1653be56ab8fc7221d2fb9c668d557f3786352d4'}
{'Amount': '5080.842644477615434138'},{'Address': '0x43ba3febc88142cb643d09d66683270d75fd2ed6'}
{'Amount': '5041.861111400000000000'},{'Address': '0xcbe203901e2f3ca910558efba39a48af89e3c558'}
{'Amount': '5000.000000000000000000'},{'Address': '0xbfab3fa9fbc422e9202558b3c51c2d1d0b2ba551'}
{'Amount': '4907.892039970181014904'},{'Address': '0x221831c7cc3a44e1d6cac3a5bceee1f5de8ad675'}
{'Amount': '4865.225592336444377455'},{'Address': '0x3ecbd327432a1418eed49c7e281b45f4d31a047a'}
{'Amount': '4788.886202128315121304'},{'Address': '0xcc1cc238f0d0de0bb82cd1f36ea988d8eb4489ab'}
{'Amount': '4372.001598260028151161'},{'Address': '0xff53b23729401a257da6b64f4e769a73759be6ca'}
