Balance,Holder
{'Amount': '1955555.560000000000000000'},{'Address': '0x236815b32b50cc80f5c6348396b1a9b09fd3e7f7'}
{'Amount': '1024998.245827236413841294'},{'Address': '0x9b52465793cbce01debd9b3c2b029dc69d19d255'}
{'Amount': '950000.000000000000000000'},{'Address': '0x71f2b246f270c6af49e2e514ca9f362b491fbbe1'}
{'Amount': '639259.087037892288967926'},{'Address': '0x9467cfadc9de245010df95ec6a585a506a8ad5fc'}
{'Amount': '560000.000000000000000000'},{'Address': '0x0d627ca04a97219f182dab0dc2a23fb4a5b02a9d'}
{'Amount': '382402.792015128640616091'},{'Address': '0xfafd604d1cc8b6b3b6cc859cf80fd902972371c1'}
{'Amount': '276756.133122424519378048'},{'Address': '0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43'}
{'Amount': '223657.129946727549467278'},{'Address': '0xd89c642e52bd9c72bcc0778bcf4de307cc48e75a'}
{'Amount': '191190.046491553737811513'},{'Address': '0x668fea489c4b03b95f171d490939f0a4bcc071a5'}
{'Amount': '188662.068777602098439117'},{'Address': '0x1d1a747389a8bc7b55911e4bfcaa5547889501aa'}
{'Amount': '187334.500583362242964140'},{'Address': '0xea2549af809ece7bbf58215f59f483714bf2e8b2'}
{'Amount': '177343.248637132213414262'},{'Address': '0x4f3a120e72c76c22ae802d129f599bfdbc31cb81'}
{'Amount': '124398.127896815852540175'},{'Address': '0x5abed1844d09dd6422d0a2446045ee230fb97506'}
{'Amount': '119676.748961876946771190'},{'Address': '0xc8b4f75257ae8bf9c16cd59ef87673108d28cf2e'}
{'Amount': '112921.686010222237552697'},{'Address': '0x70044278d556b0c962224e095397a52287c99cb5'}
{'Amount': '100069.709211171605797316'},{'Address': '0xbbfe30a28485a8bb1bc26c28c518497f2763d502'}
{'Amount': '97076.047659090295158614'},{'Address': '0xee05a01deb017653e93db88d48b30aeb0da70b5e'}
{'Amount': '92729.689321685365755117'},{'Address': '0xc29af06142138f893e3f1c1d11aa98c3313b8c1f'}
{'Amount': '85411.673895312186638234'},{'Address': '0x535aac71fae5eb1019b600ebc6c2a8639438d7a8'}
