name,symbol,id,market_cap
Ethereum,eth,ethereum,246848217845.14642
Tether,usdt,tether,89288339819.9511
BNB,bnb,binancecoin,35008358232.62278
USDC,usdc,usd-coin,24507375575.713345
Lido Staked Ether,steth,staked-ether,18994193986.346428
Toncoin,ton,the-open-network,8263183164.82326
Chainlink,link,chainlink,8012970858.728553
Polygon,matic,matic-network,7076293951.063015
Wrapped Bitcoin,wbtc,wrapped-bitcoin,6053538743.54319
Dai,dai,dai,5351674316.646581
Shiba Inu,shib,shiba-inu,4895591071.8784075
Uniswap,uni,uniswap,4492284065.593739
LEO Token,leo,leo-token,3712307768.3946185
OKB,okb,okb,3384281704.645778
TrueUSD,tusd,true-usd,2955475783.8086743
Cronos,cro,crypto-com-chain,2342550444.989598
Lido DAO,ldo,lido-dao,2094926304.3445907
NEAR Protocol,near,near,1892544714.0009441
Mantle,mnt,mantle,1688599359.4419892
BUSD,busd,binance-usd,1666487789.421386
Immutable,imx,immutable-x,1647099032.335078
Injective,inj,injective-protocol,1546292335.785708
Quant,qnt,quant-network,1454459860.7684233
Aave,aave,aave,1439306755.1200166
Maker,mkr,maker,1401537693.789634
The Graph,grt,the-graph,1330239107.0660214
Render,render,render-token,1287048036.1999416
Arbitrum,arb,arbitrum,1282985270.31754
Rocket Pool ETH,reth,rocket-pool-eth,1223695788.6069806
Synthetix Network,snx,havven,1081163855.9085805
First Digital USD,fdusd,first-digital-usd,965145203.7894131
The Sandbox,sand,the-sandbox,857602084.3188899
Fantom,ftm,fantom,850601751.2475226
Axie Infinity,axs,axie-infinity,842581332.5820351
Decentraland,mana,decentraland,797416273.8783563
WhiteBIT Coin,wbt,whitebit,775061377.374973
Bitget Token,bgb,bitget-token,755410995.2639614
GALA,gala,gala,724682322.1097547
USDD,usdd,usdd,723739254.2489954
XDC Network,xdc,xdce-crowd-sale,672382081.4893945
Frax,frax,frax,669908805.621637
Illuvium,ilv,illuvium,652586602.204988
Frax Ether,frxeth,frax-ether,608814109.025528
Tokenize Xchange,tkx,tokenize-xchange,598431571.1177715
dYdX,ethdydx,dydx,586602750.7895191
ApeCoin,ape,apecoin,579555558.0633663
Gate,gt,gatechain-token,578471897.2512332
Artificial Superintelligence Alliance,fet,fetch-ai,552654909.3472486
Blur,blur,blur,550136630.5708869
Rocket Pool,rpl,rocket-pool,538443898.4185077
Frax Share,fxs,frax-share,536521242.23927116
PancakeSwap,cake,pancakeswap-token,534259220.79962456
Curve DAO,crv,curve-dao-token,516625309.1429547
Chiliz,chz,chiliz,508821208.9129992
Rollbit Coin,rlb,rollbit-coin,503317939.1681738
Tether Gold,xaut,tether-gold,502690997.8487958
Gnosis,gno,gnosis,492482561.66423994
cETH,ceth,compound-ether,483136493.87783104
PAX Gold,paxg,pax-gold,468239890.46612424
Staked Frax Ether,sfrxeth,staked-frax-ether,460688774.0462164
Pepe,pepe,pepe,456075181.541922
Huobi,ht,huobi-token,453533212.1377479
Pax Dollar,usdp,paxos-standard,446935364.2621754
cWBTC,cwbtc,compound-wrapped-btc,446692238.230454
BitTorrent,btt,bittorrent,436986279.82941514
Beam,beam,beam-2,430886516.2956165
Coinbase Wrapped Staked ETH,cbeth,coinbase-wrapped-staked-eth,426885612.56274754
NEXO,nexo,nexo,422140510.64783216
Kujira,kuji,kujira,402928113.3992919
WOO,woo,woo-network,380445427.9654595
Zilliqa,zil,zilliqa,379731114.72084284
SingularityNET,agix,singularitynet,375640800.31582624
Axelar,axl,axelar,372336196.9359303
Huobi BTC,hbtc,huobi-btc,371573999.96084064
GMT,gmt,stepn,363147729.9335785
aelf,elf,aelf,360361843.6807743
1inch,1inch,1inch,355873892.94881266
Astar,astr,astar,353712600.8299371
Compound,comp,compound-governance-token,346608362.21522903
Basic Attention,bat,basic-attention-token,331928923.38358927
0x Protocol,zrx,0x,323528090.0094555
FLOKI,floki,floki,319618961.98451376
MX,mx,mx-token,297171509.63648444
Convex Finance,cvx,convex-finance,294919999.79890025
Worldcoin,wld,worldcoin-wld,286095215.0230621
Mask Network,mask,mask-network,281758550.5052768
Ocean Protocol,ocean,ocean-protocol,280256246.58584225
Ribbon Finance,rbn,ribbon-finance,279946277.1410825
Enjin Coin,enj,enjincoin,278895014.5573957
yearn.finance,yfi,yearn-finance,273864736.26428485
Holo,hot,holotoken,271951633.5524365
SafePal,sfp,safepal,270194538.03199023
Loopring,lrc,loopring,269117569.90213114
Nexus Mutual,nxm,nxm,261919914.34728613
Ankr Network,ankr,ankr,259959045.9544262
Echelon Prime,prime,echelon-prime,255351579.91418964
Ethereum Name Service,ens,ethereum-name-service,254369451.57905143
Fasttoken,ftn,fasttoken,247211838.03502685
Sushi,sushi,sushi,244674657.67872643
Golem,glm,golem,239392862.2240871
