name,symbol,id,market_cap
Ethereum,eth,ethereum,368786372970.94403
Tether,usdt,tether,110569151502.23439
BNB,bnb,binancecoin,89108408710.81897
USDC,usdc,usd-coin,33207618056.922943
Lido Staked Ether,steth,staked-ether,28211088710.706696
Toncoin,ton,the-open-network,17969039514.88054
Shiba Inu,shib,shiba-inu,13282684693.57065
Wrapped Bitcoin,wbtc,wrapped-bitcoin,9430250948.176796
Chainlink,link,chainlink,7730958985.435512
NEAR Protocol,near,near,6629602145.156834
Polygon,matic,matic-network,6211502463.082456
LEO Token,leo,leo-token,5420920786.501213
Uniswap,uni,uniswap,5318186829.776377
Dai,dai,dai,5244981670.10464
First Digital USD,fdusd,first-digital-usd,4202887162.665207
Cronos,cro,crypto-com-chain,3590109863.6533136
Mantle,mnt,mantle,3129028087.150486
OKB,okb,okb,3035039491.5179696
XT.com,xt,xtcom-token,3003779674.743524
Renzo Restaked ETH,ezeth,renzo-restaked-eth,2947084796.0434794
Render,render,render-token,2852572334.2185984
Immutable,imx,immutable-x,2817854838.0906696
Pepe,pepe,pepe,2815874960.410416
Arbitrum,arb,arbitrum,2723663452.647699
Wrapped eETH,weeth,wrapped-eeth,2587861056.802384
Maker,mkr,maker,2472757520.5436134
Ethena USDe,usde,ethena-usde,2333784281.2393203
The Graph,grt,the-graph,2248015673.0320463
Injective,inj,injective-protocol,2145102048.527069
Artificial Superintelligence Alliance,fet,fetch-ai,2123398947.0985215
Fantom,ftm,fantom,1813020039.508008
Rocket Pool ETH,reth,rocket-pool-eth,1722618338.8823988
Lido DAO,ldo,lido-dao,1683148801.3329551
Bitget Token,bgb,bitget-token,1590385187.1631713
FLOKI,floki,floki,1527890164.211368
Bonk,bonk,bonk,1513818583.622965
Mantle Staked Ether,meth,mantle-staked-ether,1474193948.7627969
WhiteBIT Coin,wbt,whitebit,1473974516.265573
Quant,qnt,quant-network,1449912527.3168566
GALA,gala,gala,1446153162.9042268
Aave,aave,aave,1237802823.3441393
Beam,beam,beam-2,1235973485.3695889
BitTorrent,btt,bittorrent,1185581391.2068694
Ethena,ena,ethena,1161940591.4269123
ether.fi Staked ETH,eeth,ether-fi-staked-eth,1136067137.5749738
Wormhole,w,wormhole,1097736431.1659272
Ribbon Finance,rbn,ribbon-finance,1078452902.564299
Ondo,ondo,ondo-finance,1076745745.4035175
SingularityNET,agix,singularitynet,1056881124.7855587
Gate,gt,gatechain-token,1012818066.8044543
Tokenize Xchange,tkx,tokenize-xchange,986610489.0011914
Axie Infinity,axs,axie-infinity,973137485.429356
Chiliz,chz,chiliz,959621840.7588289
The Sandbox,sand,the-sandbox,946899136.6895249
Worldcoin,wld,worldcoin-wld,908790919.6502565
Starknet,strk,starknet,891064095.4582269
Synthetix Network,snx,havven,871771915.6423407
JasmyCoin,jasmy,jasmycoin,823353602.9655877
Gnosis,gno,gnosis,810509608.9934951
Kelp DAO Restaked ETH,rseth,kelp-dao-restaked-eth,783060788.6360537
Decentraland,mana,decentraland,778200881.1235487
Safe,safe,safe,765010793.7691743
ApeCoin,ape,apecoin,734874885.4613179
USDD,usdd,usdd,704590385.7867832
Axelar,axl,axelar,690007295.9702492
NEXO,nexo,nexo,671355260.8280662
DeXe,dexe,dexe,666780270.3299937
PancakeSwap,cake,pancakeswap-token,664512389.9269452
AIOZ Network,aioz,aioz-network,659223334.5734389
Frax,frax,frax,650125958.6853203
Swell Ethereum,sweth,sweth,641963652.7205986
Fasttoken,ftn,fasttoken,613141506.088181
dYdX,ethdydx,dydx,608004376.3160942
Frax Ether,frxeth,frax-ether,605598383.6751012
Illuvium,ilv,illuvium,593465666.2026027
Blur,blur,blur,586816386.983538
Echelon Prime,prime,echelon-prime,578815683.7174098
Tether Gold,xaut,tether-gold,565761096.4257777
Coinbase Wrapped Staked ETH,cbeth,coinbase-wrapped-staked-eth,559402374.5298115
WOO,woo,woo-network,537580211.686586
MANTRA,om,mantra-dao,535809524.0692956
Astar,astr,astar,522880049.5457246
Ocean Protocol,ocean,ocean-protocol,518003578.51506054
CorgiAI,corgiai,corgiai,514291182.9393948
TrueUSD,tusd,true-usd,510301572.49922115
IoTeX,iotx,iotex,504937017.1521062
Golem,glm,golem,494679826.0718477
Curve DAO,crv,curve-dao-token,491798638.6613291
XDC Network,xdc,xdce-crowd-sale,485538777.2586324
Staked Frax Ether,sfrxeth,staked-frax-ether,479749866.0545521
Ankr Network,ankr,ankr,472108575.9476142
AltLayer,alt,altlayer,470679394.2873462
MX,mx,mx-token,467991299.19260436
1inch,1inch,1inch,457972275.1003055
Ethereum Name Service,ens,ethereum-name-service,455462260.3055953
Ether.fi,ethfi,ether-fi,450803072.0111092
PAX Gold,paxg,pax-gold,424004724.16825676
Amp,amp,amp-token,418764944.12758243
Zilliqa,zil,zilliqa,418463681.10722274
GMT,gmt,stepn,415269724.81915605
