name,symbol,id,market_cap
Ethereum,eth,ethereum,330211251741.10095
Tether,usdt,tether,83424696945.27954
BNB,bnb,binancecoin,63862082109.34614
USDC,usdc,usd-coin,49179894107.55351
BUSD,busd,binance-usd,17661549099.82557
Shiba Inu,shib,shiba-inu,11030189184.585482
Wrapped Bitcoin,wbtc,wrapped-bitcoin,10640352989.659697
Lido Staked Ether,steth,staked-ether,10238246818.480974
Cronos,cro,crypto-com-chain,8863359985.926176
Dai,dai,dai,8459041180.072433
Polygon,matic,matic-network,7104638793.49721
NEAR Protocol,near,near,6968254425.992324
ApeCoin,ape,apecoin,5725677056.887597
LEO Token,leo,leo-token,5313723931.319212
Chainlink,link,chainlink,5122068661.808956
OKB,okb,okb,4649794160.714108
Uniswap,uni,uniswap,3102491916.639066
Magic Internet Money (Ethereum),mim,magic-internet-money,2816419838.6458335
Frax,frax,frax,2702884757.158685
cETH,ceth,compound-ether,2673987471.687186
The Sandbox,sand,the-sandbox,2274319973.521338
Axie Infinity,axs,axie-infinity,2244126942.198116
DeFiChain,dfi,defichain,2184006659.374586
Decentraland,mana,decentraland,2155302297.1454396
The Graph,grt,the-graph,2132709380.1205761
GMT,gmt,stepn,2130166498.535877
PancakeSwap,cake,pancakeswap-token,2114349955.6877778
Aave,aave,aave,1956583348.5004237
Fantom,ftm,fantom,1715698611.6027472
BitTorrent,btt,bittorrent,1552848699.1017327
cUSDC,cusdc,compound-usd-coin,1533173704.2368894
Huobi BTC,hbtc,huobi-btc,1469657068.8355224
Huobi,ht,huobi-token,1435693901.510178
Frax Share,fxs,frax-share,1414776803.6089714
Onyxcoin,xcn,chain-2,1410520899.7180934
Convex Finance,cvx,convex-finance,1388048443.4253097
TrueUSD,tusd,true-usd,1374508614.1450987
cDAI,cdai,cdai,1347323045.1124306
Waves,waves,waves,1325720271.462786
NEXO,nexo,nexo,1319032076.5709949
Maker,mkr,maker,1291718699.5525272
Quant,qnt,quant-network,1250976345.103713
Zilliqa,zil,zilliqa,1031309133.3143033
Pax Dollar,usdp,paxos-standard,1015640189.399237
GALA,gala,gala,988891941.4802614
Enjin Coin,enj,enjincoin,983699542.3310713
Synthetix Network,snx,havven,965453374.3613564
Gate,gt,gatechain-token,959702086.7201214
Amp,amp,amp-token,934846291.2349764
Lido DAO,ldo,lido-dao,930745257.1220672
Chiliz,chz,chiliz,918815362.9457127
Basic Attention,bat,basic-attention-token,855895988.4731146
Celsius Network,cel,celsius-degree-token,853582189.7682695
Loopring,lrc,loopring,847886044.4034953
Curve DAO,crv,curve-dao-token,781369286.9083713
XDC Network,xdc,xdce-crowd-sale,762776751.1030434
Compound,comp,compound-governance-token,701000856.4090081
Holo,hot,holotoken,687743518.6288362
0x Protocol,zrx,0x,649609019.2322261
Nexus Mutual,nxm,nxm,636275852.0259722
PAX Gold,paxg,pax-gold,620627700.5284792
Gnosis,gno,gnosis,596953638.815882
Audius,audio,audius,594039941.7683396
yearn.finance,yfi,yearn-finance,590531406.2080077
ECOMI,omi,ecomi,583693025.391657
Fei USD,fei,fei-usd,559718700.6103418
Livepeer,lpt,livepeer,551852169.5039827
IoTeX,iotx,iotex,548320616.055696
Xido Finance,xido,xido-finance,545081868.5574933
Bancor Network,bnt,bancor,527289295.5074982
SKALE,skl,skale,520283711.1563542
OMG Network,omg,omisego,505174124.1851176
Kyber Network Crystal,knc,kyber-network-crystal,504483159.8833502
Dogelon Mars,elon,dogelon-mars,501560340.4325888
Synapse,syn,synapse-2,498093896.0193494
Ankr Network,ankr,ankr,490391008.641421
Ethereum Name Service,ens,ethereum-name-service,486945851.6261343
Liquity USD,lusd,liquity-usd,480715301.5351615
Rocket Pool,rpl,rocket-pool,480348079.24728
Serum,srm,serum,479371576.89489293
Tether Gold,xaut,tether-gold,471455787.9711769
1inch,1inch,1inch,465153835.2393833
Solar,sxp,swipe,462843485.4765226
Astar,astr,astar,456495086.094503
Sushi,sushi,sushi,447664212.16052985
Smooth Love Potion,slp,smooth-love-potion,433661598.174903
WAX,waxp,wax,426345718.64044243
Velas,vlx,velas,417347105.0606713
renBTC,renbtc,renbtc,402726404.6287021
Everscale,ever,everscale,401996156.587582
Rally,rly,rally-2,376097362.26656324
SwissBorg,borg,swissborg,367354002.04346526
WOO,woo,woo-network,360312089.46459275
Olympus,ohm,olympus,355974563.1020582
Golem,glm,golem,355276095.5118405
UMA,uma,uma,354608993.7089653
dYdX,ethdydx,dydx,329833294.1827319
VVS Finance,vvs,vvs-finance,325885499.148288
LooksRare,looks,looksrare,321764343.51492214
Immutable,imx,immutable-x,318526927.15872216
