name,symbol,id,market_cap
Ethereum,eth,ethereum,437709753307.89496
Tether,usdt,tether,104510345551.65152
BNB,bnb,binancecoin,93359245453.8439
Lido Staked Ether,steth,staked-ether,35213350128.73767
USDC,usdc,usd-coin,32388206506.35532
Toncoin,ton,the-open-network,18738312507.990364
Shiba Inu,shib,shiba-inu,18102450320.625675
Chainlink,link,chainlink,11219822623.010437
Wrapped Bitcoin,wbtc,wrapped-bitcoin,11048260949.210667
Uniswap,uni,uniswap,9744657891.90835
Polygon,matic,matic-network,9312816915.684267
NEAR Protocol,near,near,7566825900.917762
LEO Token,leo,leo-token,5564376311.303257
Dai,dai,dai,4905332847.585422
Arbitrum,arb,arbitrum,4409102060.164006
Immutable,imx,immutable-x,4327405383.89137
Mantle,mnt,mantle,4252615292.6610713
Cronos,cro,crypto-com-chain,4070122038.983531
Render,render,render-token,4061817677.281552
OKB,okb,okb,3812132363.857049
The Graph,grt,the-graph,3705769115.017249
Pepe,pepe,pepe,3690700125.2681746
Maker,mkr,maker,3625315584.714123
Injective,inj,injective-protocol,3249013459.9236245
Artificial Superintelligence Alliance,fet,fetch-ai,3178179084.81554
Fantom,ftm,fantom,2804281327.2743907
Lido DAO,ldo,lido-dao,2632538942.047183
GALA,gala,gala,2574170040.9877744
First Digital USD,fdusd,first-digital-usd,2554482844.0904
FLOKI,floki,floki,2412853841.210343
Wormhole,w,wormhole,2392085861.382825
Rocket Pool ETH,reth,rocket-pool-eth,2126833293.6410103
Mantle Staked Ether,meth,mantle-staked-ether,1948638765.9829204
Quant,qnt,quant-network,1921461136.367998
Wrapped eETH,weeth,wrapped-eeth,1895471835.177718
Aave,aave,aave,1893779646.4620297
Bonk,bonk,bonk,1850264510.3483858
Beam,beam,beam-2,1821685704.841446
Ribbon Finance,rbn,ribbon-finance,1638293173.6462674
SingularityNET,agix,singularitynet,1609597331.1191306
Starknet,strk,starknet,1588537046.9461634
The Sandbox,sand,the-sandbox,1576742606.6305268
Axie Infinity,axs,axie-infinity,1572359132.359817
BitTorrent,btt,bittorrent,1567993798.174463
Ethena USDe,usde,ethena-usde,1538920861.360244
Synthetix Network,snx,havven,1527300237.7927058
Bitget Token,bgb,bitget-token,1466794743.5750148
ether.fi Staked ETH,eeth,ether-fi-staked-eth,1454556051.5795574
Gate,gt,gatechain-token,1416295031.4019244
Ondo,ondo,ondo-finance,1411485084.3118262
Worldcoin,wld,worldcoin-wld,1377424815.196242
Chiliz,chz,chiliz,1328680792.1058333
Axelar,axl,axelar,1262897017.6887033
ApeCoin,ape,apecoin,1261213120.7253144
Decentraland,mana,decentraland,1247452776.0998812
WhiteBIT Coin,wbt,whitebit,1234088440.9547012
Tokenize Xchange,tkx,tokenize-xchange,1220257355.3757014
PancakeSwap,cake,pancakeswap-token,1160811148.682449
Ethena,ena,ethena,1121772057.929803
JasmyCoin,jasmy,jasmycoin,1058599501.3087533
AIOZ Network,aioz,aioz-network,1011780536.7828287
Safe,safe,safe,1009252025.0358826
dYdX,ethdydx,dydx,1008304842.2753499
Frax Ether,frxeth,frax-ether,1002355604.1558582
Gnosis,gno,gnosis,920488117.4020027
CorgiAI,corgiai,corgiai,904543988.3207169
Blur,blur,blur,902664509.9018403
Illuvium,ilv,illuvium,894160255.5103328
WOO,woo,woo-network,883754077.1301398
DeXe,dexe,dexe,876271694.5507628
Echelon Prime,prime,echelon-prime,821497100.4549019
Curve DAO,crv,curve-dao-token,807734529.3592267
Swell Ethereum,sweth,sweth,803542770.1648532
Ocean Protocol,ocean,ocean-protocol,781006419.443373
Astar,astr,astar,780637473.9219002
Kelp DAO Restaked ETH,rseth,kelp-dao-restaked-eth,775107114.0899677
AltLayer,alt,altlayer,772061011.7367018
NEXO,nexo,nexo,757061807.1502385
Ether.fi,ethfi,ether-fi,751463467.3696874
USDD,usdd,usdd,729731031.6330445
Enjin Coin,enj,enjincoin,720212863.0130776
IoTeX,iotx,iotex,708543805.2935698
1inch,1inch,1inch,708394597.8907679
Zilliqa,zil,zilliqa,697667802.9579871
XDC Network,xdc,xdce-crowd-sale,693692087.977145
Ethereum Name Service,ens,ethereum-name-service,692698399.4199357
Coinbase Wrapped Staked ETH,cbeth,coinbase-wrapped-staked-eth,690318053.1196845
GMT,gmt,stepn,686584311.3927717
Staked Frax Ether,sfrxeth,staked-frax-ether,656712332.5449833
Frax,frax,frax,648302602.3039614
0x Protocol,zrx,0x,644448168.1702191
SKALE,skl,skale,623991123.8884671
Rocket Pool,rpl,rocket-pool,611184691.2754314
Holo,hot,holotoken,610833224.249161
Memecoin,meme,memecoin-2,609753394.4522814
Golem,glm,golem,607771183.4886189
SuperVerse,super,superfarm,606154962.354295
Frax Share,fxs,frax-share,599876596.6333117
Ankr Network,ankr,ankr,598624525.1028473
Amp,amp,amp-token,590567715.3948723
