name,symbol,id,market_cap
Ethereum,eth,ethereum,452758719430.44403
Tether,usdt,tether,111944442929.55719
BNB,bnb,binancecoin,91484499156.37355
Lido Staked Ether,steth,staked-ether,35738889225.465485
USDC,usdc,usd-coin,32396923635.40512
Toncoin,ton,the-open-network,15330321156.334135
Shiba Inu,shib,shiba-inu,15033717952.557625
Chainlink,link,chainlink,10825858687.009129
Wrapped Bitcoin,wbtc,wrapped-bitcoin,10520785570.928549
NEAR Protocol,near,near,7860058543.051555
Uniswap,uni,uniswap,7546355316.0894375
Pepe,pepe,pepe,6499379960.052395
Polygon,matic,matic-network,6461536230.94624
LEO Token,leo,leo-token,5501014866.771425
Artificial Superintelligence Alliance,fet,fetch-ai,5403196895.247647
Dai,dai,dai,5313827584.109041
Wrapped eETH,weeth,wrapped-eeth,5024815658.39776
Render,render,render-token,3942554507.3098564
Renzo Restaked ETH,ezeth,renzo-restaked-eth,3700501724.872932
Arbitrum,arb,arbitrum,3251664640.834368
Mantle,mnt,mantle,3237497203.6980896
Immutable,imx,immutable-x,3228887853.770272
Cronos,cro,crypto-com-chain,3039698566.1118946
Ethena USDe,usde,ethena-usde,3000279445.681867
First Digital USD,fdusd,first-digital-usd,2911987261.7810316
The Graph,grt,the-graph,2835397442.702325
OKB,okb,okb,2823211613.696045
Maker,mkr,maker,2536733108.7749505
FLOKI,floki,floki,2486665844.691073
Injective,inj,injective-protocol,2310256655.308596
Bonk,bonk,bonk,2289389542.4760256
Lido DAO,ldo,lido-dao,2265234858.5817614
Fantom,ftm,fantom,2229924684.1691914
Rocket Pool ETH,reth,rocket-pool-eth,2117115945.9066312
Bitget Token,bgb,bitget-token,1955501861.1422834
Ondo,ondo,ondo-finance,1798035959.3784833
Mantle Staked Ether,meth,mantle-staked-ether,1765192096.7982688
JasmyCoin,jasmy,jasmycoin,1621705115.432434
Aave,aave,aave,1541362100.8313167
GALA,gala,gala,1540140997.9277184
WhiteBIT Coin,wbt,whitebit,1416844219.545074
Beam,beam,beam-2,1414520301.8093767
Starknet,strk,starknet,1346020311.2702668
Quant,qnt,quant-network,1319504390.4211867
Ethena,ena,ethena,1301092596.0219295
Chiliz,chz,chiliz,1260946253.923196
SingularityNET,agix,singularitynet,1153831965.2394488
Kelp DAO Restaked ETH,rseth,kelp-dao-restaked-eth,1146308643.263688
BitTorrent,btt,bittorrent,1123853487.3008385
Worldcoin,wld,worldcoin-wld,1102163144.5238283
Axie Infinity,axs,axie-infinity,1080678312.1459198
Tokenize Xchange,tkx,tokenize-xchange,1075756882.2052946
Gate,gt,gatechain-token,1069843590.086429
Wormhole,w,wormhole,1061421872.954403
The Sandbox,sand,the-sandbox,982456832.8325909
Pendle,pendle,pendle,952800052.1011773
Synthetix Network,snx,havven,935026155.5825149
Safe,safe,safe,905344444.7764018
Ribbon Finance,rbn,ribbon-finance,897364670.9335214
Gnosis,gno,gnosis,876956533.233407
LayerZero,zro,layerzero,861394187.7006965
ether.fi Staked ETH,eeth,ether-fi-staked-eth,859043023.7888324
Decentraland,mana,decentraland,831859316.2366459
Ethereum Name Service,ens,ethereum-name-service,820057461.6985135
AIOZ Network,aioz,aioz-network,817766990.0606585
NEXO,nexo,nexo,811289424.4825006
ApeCoin,ape,apecoin,786232460.3878027
Aevo,aevo,aevo-exchange,765635436.153633
MAGA,trump,maga,756324758.81441
DeXe,dexe,dexe,748156523.8455698
Frax Ether,frxeth,frax-ether,745308448.9500731
Livepeer,lpt,livepeer,743661273.3502014
PancakeSwap,cake,pancakeswap-token,736327083.1404537
USDD,usdd,usdd,730329084.6185546
Echelon Prime,prime,echelon-prime,709434411.6609873
Fasttoken,ftn,fasttoken,697773257.9081427
Axelar,axl,axelar,693828395.8121814
Blur,blur,blur,691539819.6689717
Swell Ethereum,sweth,sweth,679001481.2424399
Coinbase Wrapped Staked ETH,cbeth,coinbase-wrapped-staked-eth,673398154.5515039
Frax,frax,frax,648515594.2462459
PepeCoin,pepecoin,pepecoin-2,614698353.1388223
WOO,woo,woo-network,609617602.7946329
MANTRA,om,mantra-dao,602515779.4266137
Staked Frax Ether,sfrxeth,staked-frax-ether,588881175.6614962
Ocean Protocol,ocean,ocean-protocol,585596449.4880388
CorgiAI,corgiai,corgiai,582775706.1517736
Memecoin,meme,memecoin-2,578733929.0626857
Tether Gold,xaut,tether-gold,574665365.3102738
Arkham,arkm,arkham,569738145.9596704
Curve DAO,crv,curve-dao-token,567271154.2010812
1inch,1inch,1inch,566037378.4255476
dYdX,ethdydx,dydx,561998759.4350573
Illuvium,ilv,illuvium,559430857.3756874
Mog Coin,mog,mog-coin,554433960.830237
XDC Network,xdc,xdce-crowd-sale,548565676.6007155
Turbo,turbo,turbo,547087573.3289323
IoTeX,iotx,iotex,543773259.3115861
Ether.fi,ethfi,ether-fi,542827954.7022438
AltLayer,alt,altlayer,526470629.7113188
