name,symbol,id,market_cap
Ethereum,eth,ethereum,200867042112.70465
Tether,usdt,tether,83258001884.50362
BNB,bnb,binancecoin,33034392755.685253
USDC,usdc,usd-coin,25109326927.38972
Lido Staked Ether,steth,staked-ether,14673174824.913551
Toncoin,ton,the-open-network,7260620739.741237
Polygon,matic,matic-network,4957721521.822863
Chainlink,link,chainlink,4548642965.317572
Wrapped Bitcoin,wbtc,wrapped-bitcoin,4375474385.700777
Shiba Inu,shib,shiba-inu,4326746024.28707
Dai,dai,dai,3820789170.439402
TrueUSD,tusd,true-usd,3445481080.438671
LEO Token,leo,leo-token,3422097777.166869
Uniswap,uni,uniswap,3364186229.454554
OKB,okb,okb,2577186084.141854
BUSD,busd,binance-usd,2259184792.478329
Lido DAO,ldo,lido-dao,1512966808.2273839
Maker,mkr,maker,1382785843.3552935
Cronos,cro,crypto-com-chain,1337319324.7582734
Quant,qnt,quant-network,1314071159.4619741
Mantle,mnt,mantle,1293303445.100629
Arbitrum,arb,arbitrum,1157786470.070145
NEAR Protocol,near,near,1105738348.1863058
Aave,aave,aave,984291197.0762948
Rocket Pool ETH,reth,rocket-pool-eth,961374578.7968386
The Graph,grt,the-graph,826727636.4250962
WhiteBIT Coin,wbt,whitebit,743707007.2339151
XDC Network,xdc,xdce-crowd-sale,734185330.4325355
USDD,usdd,usdd,726892273.9110284
Immutable,imx,immutable-x,688908236.1662145
Synthetix Network,snx,havven,675089831.6551164
Frax,frax,frax,669912865.2814533
Injective,inj,injective-protocol,642808367.2941064
The Sandbox,sand,the-sandbox,641774556.7991334
Bitget Token,bgb,bitget-token,632822454.2172476
Axie Infinity,axs,axie-infinity,603314828.989399
Render,render,render-token,570775667.3078561
Decentraland,mana,decentraland,569732606.7544907
Fantom,ftm,fantom,560729369.839908
Gate,gt,gatechain-token,514051619.5729463
Pax Dollar,usdp,paxos-standard,486174979.903368
cETH,ceth,compound-ether,480644265.13510925
PAX Gold,paxg,pax-gold,463407461.3613754
ApeCoin,ape,apecoin,458880054.4825476
Tether Gold,xaut,tether-gold,456981340.85122484
Curve DAO,crv,curve-dao-token,453541673.4338776
Frax Ether,frxeth,frax-ether,442258580.5775612
Rocket Pool,rpl,rocket-pool,435556838.1247193
Chiliz,chz,chiliz,431145778.99844944
Rollbit Coin,rlb,rollbit-coin,409724232.270407
Frax Share,fxs,frax-share,409658658.56577533
First Digital USD,fdusd,first-digital-usd,406202697.4499835
Tokenize Xchange,tkx,tokenize-xchange,394185330.54571706
Huobi,ht,huobi-token,380051679.73706377
GALA,gala,gala,377081673.49207366
BitTorrent,btt,bittorrent,368839897.4463316
dYdX,ethdydx,dydx,345870317.2444063
Coinbase Wrapped Staked ETH,cbeth,coinbase-wrapped-staked-eth,340848015.66615236
Pepe,pepe,pepe,336441945.0263581
Nexus Mutual,nxm,nxm,324721326.56769043
Staked Frax Ether,sfrxeth,staked-frax-ether,322523766.4680862
Compound,comp,compound-governance-token,320837919.4240951
NEXO,nexo,nexo,312203121.0263802
WOO,woo,woo-network,303921459.34961486
Zilliqa,zil,zilliqa,303755338.4337776
Gemini Dollar,gusd,gemini-dollar,301062239.37626797
1inch,1inch,1inch,278498997.7022936
Basic Attention,bat,basic-attention-token,268115854.05213547
PancakeSwap,cake,pancakeswap-token,265345819.54793146
Gnosis,gno,gnosis,264009805.164751
Astar,astr,astar,258920135.6324849
Liquity USD,lusd,liquity-usd,254216822.79971743
Convex Finance,cvx,convex-finance,251170464.69113612
Huobi BTC,hbtc,huobi-btc,240167682.88565156
SafePal,sfp,safepal,238073324.06744254
Illuvium,ilv,illuvium,234677499.89907715
Artificial Superintelligence Alliance,fet,fetch-ai,232301985.54486775
cUSDC,cusdc,compound-usd-coin,232273393.46958953
tomiNet,tomi,tominet,229979627.53305894
Escoin,elg,escoin-token,228752259.23020595
SingularityNET,agix,singularitynet,227526220.44506103
ECOMI,omi,ecomi,226130089.7351868
MX,mx,mx-token,225677577.81043234
Enjin Coin,enj,enjincoin,224723786.2461551
Loopring,lrc,loopring,224246854.69605836
DeFiChain,dfi,defichain,223225607.87926862
Mask Network,mask,mask-network,221635123.96229494
Worldcoin,wld,worldcoin-wld,220856845.272812
Euro Tether,eurt,tether-eurt,217839542.05062094
Bone ShibaSwap,bone,bone-shibaswap,207361551.57023236
Ethereum Name Service,ens,ethereum-name-service,206090762.41945207
Aragon,ant,aragon,204008121.56509954
Ankr Network,ankr,ankr,198716002.0585391
Olympus,ohm,olympus,196893048.59737054
GMT,gmt,stepn,190689842.2771751
Golem,glm,golem,185390718.7423766
Holo,hot,holotoken,184509481.09602803
FLOKI,floki,floki,183994906.45168978
yearn.finance,yfi,yearn-finance,173905615.05448768
Blur,blur,blur,171748968.44307625
