id,space_id,proposal_id,title,start,end,state,author,space_name,scores,scores_total,votes
index-cooperative,index-coop.eth,0x940fea8c7965da18b12fc6a081478204d41cda975ca8acdf220a17b0b99193aa,IIP-105 DG1: Launch MATIC 2x Flexible Leverage Index (Polygon),1636999200,1637258400,closed,0xECbe3854B26750B301341BAD149185E55544aBA1,Index Coop,"[335666.8629166403, 147.0129557]",335813.8758723403,63
index-cooperative,index-coop.eth,0x31a11f7f37c0319785cad3ab7353745731c3d33908b5ebd073c41276dd98264c,IIP-104 DG1: Launch ETH2X-FLI (Polygon),1636999200,1637258400,closed,0xECbe3854B26750B301341BAD149185E55544aBA1,Index Coop,"[336157.5620030734, 0]",336157.5620030734,66
index-cooperative,index-coop.eth,0xc6735f6bba6dc6ba537077d08f4db0bf3695ec1086ddc8144d264a757e69061f,"IIP-95: Beta Finance - DPI, MVI, BED & ETH2x-FLI Incentivized Lending & Borrowing",1636959600,1637218800,closed,0xD7E7bCA98ab9fB25e17ad73429e89A40B55708BE,Index Coop,"[311488.4897019716, 20298.256198822783]",331786.74590079434,59
index-cooperative,index-coop.eth,0x40edf5d2828a0473626a8a7bfa22a8755fb847a95563e238665ba00ecfb279ca,IIP-103 DG1: Launch Token Terminal Smart Beta Index ($TTI),1636999200,1637258400,closed,0xECbe3854B26750B301341BAD149185E55544aBA1,Index Coop,"[296583.7549959282, 0]",296583.7549959282,57
index-cooperative,index-coop.eth,0xf617a54ce920d92e800bc8137367c97662446f5fc6e167f93049f840009ee1c4,[BALANCER] Treasury Swap: Balancer DAO <> Fei DAO,1636477200,1636635600,closed,0xC99ab7Ffa5a4CB9a06Ee68652fE74B6C59c67284,Index Coop,"[51789.81846757611, 0]",51789.81846757611,28
index-cooperative,index-coop.eth,QmSL8mUPtKp78YrsWmLw7t8X3jH348ZXjUeyEVyanJxV2A,"[COMPOUND-69] Risk Parameter Updates for LINK, MKR, SUSHI, and YFI",1636492218,1636832867,closed,0x6d428208A3BE587B914f8047851bcd561E0c6735,Index Coop,"[42119.96894736163, 0]",42119.96894736163,43
index-cooperative,index-coop.eth,QmSgaTqTbDaMDcoGdiDGy5HhYuLxZpraifsD4UxA1h8FdH,[AAVE-46] Q2 Dynamic Risk Parameters,1636489713,1636652860,closed,0x6d428208A3BE587B914f8047851bcd561E0c6735,Index Coop,"[204949.94386944335, 0]",204949.94386944335,25
index-cooperative,index-coop.eth,QmV1AkcZ2oJYDzPUGkdevE4NvBSAHoQwAkRV7ytFJyEUzg,[AAVE-45] Risk Parameter Updates 2021-11-04,1636417118,1636580317,closed,0x6d428208A3BE587B914f8047851bcd561E0c6735,Index Coop,"[17992.870197573495, 1031.214336354266]",19024.08453392776,22
index-cooperative,index-coop.eth,0x6e77a0e6d1fd3f2b73df0e4dad1df2daf17279370397f4f61af420076e2a69bc,IIP-71 DG2: Launching the Robot Index ($iRobot),1636394400,1636653600,closed,0xECbe3854B26750B301341BAD149185E55544aBA1,Index Coop,"[49512.79282794558, 263429.9101891638]",312942.7030171095,76
index-cooperative,index-coop.eth,0x26ea01b07411488227517a164bdfa5ee5c06792bd9761c00082b559d750a04f4,IIP-101: Authorize the Operations Account for Rari Capital Strategies,1636394400,1636653600,closed,0xc2971FE806CE4438dA09e21fC7be7FB121Cf7e13,Index Coop,"[284541.51355671464, 22796.810034529903]",307338.3235912445,54
