Address,Amount
0xba12222222228d8ba445958a75a0704d566bf2c8,28453788.40955599
0x10a19e7ee7d7f8a52822f6817de8ea18204f2e4f,4450918.68552975
0xb129f73f1afd3a49c701241f374db17ae63b20eb,1773540.72
0x740a4aeefb44484853aa96ab12545fc0290805f3,1588697.5284393698
0xcdcebf1f28678eb4a1478403ba7f34c94f7ddbc5,1402526.483561663
0x28c6c06298d514db089934071355e5743bf21d60,1240809.9988496786
0x3b8910f378034fd6e103df958863e5c684072693,704669.88
0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf,570385.3374625691
0x0845989a8a6da24874b37b7c610b2d6fc524c067,408048.92066401
0x53a87b98e38cf1fe906422e624c6954421391f44,408048.52076241
0xe08a8b19e5722a201eaf20a6bc595ef655397bd5,378250.0363289526
0x6d19b2bf3a36a61530909ae65445a906d98a2fa8,369976.0638334516
0x5a52e96bacdabb82fd05763e25335261b270efcb,357976.0
0x7a2e4aa4f2f6ab66594fff84dcabac67fb9773c8,349213.5538072864
0x7d64f03a7a15e6082d1371c82c59770d73b4f8aa,326299.4335606303
0x3c221e16a342a5ec114f7259a37ef42b0597c251,300870.2359388194
0x464c71f6c2f760dda6093dcb91c24c39e5d6e18c,300000.0
0xc9cd5d64fde8919b6a274ad7f31b5a0c7e4b24b6,282267.6026347538
0xe1f385da68f138aec8bc5af65ffa39960e34cac7,273696.3823375591
0xc7ed3fbc63cdbe1cb540713983afb4fd18d2967b,202952.42
0x5934807cc0654d46755ebd2848840b616256c6ef,200110.45998611223
0xe2c91f3409ad6d8ce3a2e2eb330790398cb23597,199784.05640647956
0x8504d7aea266bcd89d1cabed0203f5e2f27cf6ee,193181.82
0xdfd5293d8e347dfe59e90efd55b2956a1343963d,182921.78675
0x1a755cf9771db19c49fa03a32d8d24f556106fcb,181818.18
0xa3a7b6f88361f48403514059f1f16c8e78d60eec,172064.746507391
0x1494ca1f11d487c2bbe4543e90080aeba4ba3c2b,165810.59250710002
0x272f97b7a56a387ae942350bbc7df5700f8a4576,161876.3130316488
0x4501042eb39ae9185919f94533df5324d8232be5,150000.0
0x40672889535566711346829a2dfe16e3d060b8be,150000.0
0x94278cbc4cb0c15ad23084502db7e6154eaf9b0d,139014.0036950795
0xef287b8ad0ead84a6c7007ea56c6d46fd06af1a0,136685.08923168498
0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,135709.56881164602
0xd4b46b14604f8ca35c8e80e497a3f22b85752149,135000.0
0x21a31ee1afc51d94c2efccaa2092ad1028285549,130958.29210613
0x41431b29eca702002a779c8b7f6f9364774c9621,124199.32856633302
0xca054c84ea710f7e0b71c781cf1809b2a261ab99,113551.13209285865
0x9acbb72cf67103a30333a32cd203459c6a9c3311,113443.07462249014
