Balance,Holder
{'Amount': '19757698.867095359055327777'},{'Address': '0xdbbfc051d200438dd5847b093b22484b842de9e7'}
{'Amount': '10749861.139826712110562930'},{'Address': '0x16d96ba86512b4f8d10bd74b1061d9f576d9c55d'}
{'Amount': '4749560.502020989081417247'},{'Address': '0xc5ca1ebf6e912e49a6a70bb0385ea065061a4f09'}
{'Amount': '1910400.000000000000000000'},{'Address': '0x709f1eded58f310af8f3b40399695383b35309d0'}
{'Amount': '1342032.706985080642525174'},{'Address': '0xca67f76bccce3f856fcd38825e3afc43386ec806'}
{'Amount': '733537.241073071464724643'},{'Address': '0xdc0b02849bb8e0f126a216a2840275da829709b0'}
{'Amount': '728149.369657897539834352'},{'Address': '0x8b4334d4812c530574bd4f2763fcd22de94a969b'}
{'Amount': '678409.090909090909090911'},{'Address': '0x0810b584eba735adea46ebecdfbe36346daab0b5'}
{'Amount': '655090.608521065263230311'},{'Address': '0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf'}
{'Amount': '650996.376320743124308862'},{'Address': '0xc4090b37eeff584fc48c58e9d2303acca82247dc'}
{'Amount': '534073.896534035429214775'},{'Address': '0xfece4fc28bdee14e72df795222798701adb02acc'}
{'Amount': '350000.000000000000000000'},{'Address': '0x3baf70b3d5079d8654c16b777c3e4e16d9071579'}
{'Amount': '318889.633010174547742011'},{'Address': '0x4a266739e40664e80470cc335120a2a1fa0b3f3f'}
{'Amount': '284547.735909204381629469'},{'Address': '0x99be63a273a050a67f043ecd106603a6faafecae'}
{'Amount': '240658.857851157061371096'},{'Address': '0x15b3ad7583ecf1ead4b44b0f383427d019a954ed'}
{'Amount': '240000.000000000000000000'},{'Address': '0x092d27c7b3a55ff617005e5e31406591b8674c44'}
{'Amount': '238653.486323770157648707'},{'Address': '0xb84501efe8b7d824329ac9ce76eb5a48372bde22'}
{'Amount': '218370.968553448236137899'},{'Address': '0x7d42bf24f22ed0fb0a0473a504817ac5c44f51fb'}
{'Amount': '213779.261320395758667583'},{'Address': '0x0dc874fb5260bd8749e6e98fd95d161b7605774d'}
{'Amount': '208307.947942540877593343'},{'Address': '0xb753eebaf9deacb02c836950dae2f9e58592638a'}
{'Amount': '158793.334981919984034770'},{'Address': '0x6788f608cfe5cfcd02e6152ec79505341e0774be'}
{'Amount': '155410.787733946612891771'},{'Address': '0x11ba386d08b622ca75f15d1ed6e716727aa27cdb'}
{'Amount': '146235.040374334894512510'},{'Address': '0x2a88487328e89fe6c3b71706069715f301f4beb4'}
{'Amount': '135000.000000000000000000'},{'Address': '0x99611cd42b6281a9cbdee97f9e4bff51a8b1c5cc'}
{'Amount': '126498.734770375922676411'},{'Address': '0x5aa79c3b0648c916600c88f028c1911e3a7c3ed3'}
{'Amount': '104660.379964387521620121'},{'Address': '0x1255e17fff07322231a4124bb455c85d20d0a2c4'}
{'Amount': '100376.569185453583852791'},{'Address': '0xfa8343c666c7b4e617e502c7070a31c52d5a46ec'}
{'Amount': '91829.002160805217025611'},{'Address': '0x89b76bdda22a59014e7c67a612ca80dad957e13d'}
{'Amount': '91621.707593499926910784'},{'Address': '0x7a6dc361d8739b6fd01b4e918dd6d7f5d0580826'}
{'Amount': '87363.472817743968902254'},{'Address': '0x3303352577a458daca2ef3e127787ed715137298'}
{'Amount': '84630.308537866439924423'},{'Address': '0x8214de46fd2d0efcaab33b77cf2662c44446cc17'}
{'Amount': '78039.764981841274356649'},{'Address': '0x21c0d45e3c1a4430c4be2ee9109bc788cac0ffe6'}
{'Amount': '74300.111212657919016168'},{'Address': '0x2b7403bdb196fa5fc0e4f779600a084be0d8422e'}
{'Amount': '71073.561581919187564453'},{'Address': '0xef466f6ddfc6dd9f2db267e943c6b8a292653d36'}
{'Amount': '66586.645158786692118017'},{'Address': '0xf20b5657e596c1a3c75540960c66c609bdf1b171'}
{'Amount': '59248.213163062329520954'},{'Address': '0x7a0dff2a955b72159650300a9acef97146dd12e6'}
{'Amount': '53459.936268997185840701'},{'Address': '0xaf00740ac83290211c0c7729dc3063c90fbf5faf'}
{'Amount': '52999.999971139594993141'},{'Address': '0xf2978b5dabb93964410fb0394c07f144706a2df7'}
{'Amount': '51561.718556175085693426'},{'Address': '0x233530c67a69f4ede1ebd45321d4990b4e05ff4c'}
{'Amount': '50190.935895996280179070'},{'Address': '0x94db5282b2a766573aef88c69b2d1baf969084ac'}
{'Amount': '50000.140874715458010878'},{'Address': '0xd880507d359af862a5f8f318c8e934ab478ca818'}
{'Amount': '50000.000000000000000000'},{'Address': '0x77880222c4a4756771c587765bb2f0ac1157e5c1'}
{'Amount': '49833.045442647186832918'},{'Address': '0x7ac159f266be93e67c24f91caf18a42be711ed12'}
{'Amount': '49738.910140898632452939'},{'Address': '0x746c9a9ba3e6c5f9f85ae83865d2c032f26e1af1'}
{'Amount': '48283.521956584704612369'},{'Address': '0x5c48c740101ef90030de15b65e7de3f7b1e1a47c'}
{'Amount': '47863.330125112722079667'},{'Address': '0x1ef174dd40b5a4ab1d23cf2a9c0eaa97fff24ba5'}
{'Amount': '45657.000076407588832599'},{'Address': '0x354743132e75e417344bcfdded6a045140556414'}
{'Amount': '45354.690774349727922557'},{'Address': '0x45f00158954845c223ce09b91f6c5c5b89411526'}
{'Amount': '44436.451341423890405244'},{'Address': '0x3841d84a5ed84bcd6261c49d656c4815619cdb45'}
{'Amount': '44011.918574059937255512'},{'Address': '0x24671af606791066d047d4617847329892162ed3'}
{'Amount': '41541.415506796030567941'},{'Address': '0x2b01f0d8d6aadb6c999ee5d61ebcc0b20bc1cdfb'}
{'Amount': '41195.995360448796418598'},{'Address': '0x50282be38fafb56c130b140493e471ae32c35ca9'}
{'Amount': '40116.000000000000000000'},{'Address': '0x4f3b5f063a3f3ec2cc0ef3a769820297d469d3ad'}
{'Amount': '39743.288424415533839783'},{'Address': '0x25e159ef4495a4b07f0d58c7960da7e1b2cb37a2'}
{'Amount': '39000.173309012539270306'},{'Address': '0xb2f44ffa376dea81b57e6ae9ae16857e64dc897b'}
{'Amount': '38106.869581499241372931'},{'Address': '0x83febcf72458393a3957cc9793a9f04ff59a3d45'}
{'Amount': '35339.495066536274704287'},{'Address': '0x68422911ea1eee76d43dd6e63324346a42c90de6'}
{'Amount': '35093.402189080000000000'},{'Address': '0x3ef3d8ba38ebe18db133cec108f4d14ce00dd9ae'}
{'Amount': '33190.642848109608391287'},{'Address': '0xc5200d72e6d3cbb471a6692d7425abe3a0c781af'}
{'Amount': '32923.065228165861984892'},{'Address': '0x291c245fd1e5ecada53166165838ad19da79a881'}
{'Amount': '31395.849840931694934467'},{'Address': '0x67ede0aa1b00ae4f5b3e7c52e1b336150554745f'}
{'Amount': '31013.806969207755061001'},{'Address': '0x9c9d06c7378909c6d0a2a0017bb409f7fb8004e0'}
{'Amount': '30068.932051442938206226'},{'Address': '0x056e5d920fb3ef4c7b0ee3c039802470ea8a3661'}
{'Amount': '29930.758015029158707046'},{'Address': '0x329c54289ff5d6b7b7dae13592c6b1eda1543ed4'}
{'Amount': '29309.415506212170448213'},{'Address': '0x5f82c97e9b1755237692a946ae814998bc0e2124'}
{'Amount': '28830.808029174802939904'},{'Address': '0x3cf7654333cb7c24eff8e21d7a6882ae3a057759'}
{'Amount': '28681.392218417049395212'},{'Address': '0x181cfa5dcf5c8d89ee9312c23c4b54a07dc64b55'}
{'Amount': '28529.259865937073663658'},{'Address': '0x191c3a109770100b439124c35990103584a62f1d'}
{'Amount': '25573.969445340637914593'},{'Address': '0x99bf771e442b6f3a82cbefa52193790686b8818d'}
{'Amount': '25333.000000000000000000'},{'Address': '0xf62ada6eb3747323cbbfa89acb57cb8e231ef8f7'}
{'Amount': '25049.370045650100790333'},{'Address': '0x97e3a0a4082c9e1836140bf2d4426f30fa1c648b'}
{'Amount': '24983.040640207636592489'},{'Address': '0x16f75aa4bcab8a8fda2bcab023ca1ae581453ac5'}
{'Amount': '23908.000000000000000000'},{'Address': '0x0cd27bb5a484aab857f8190d6415bd2f496472b8'}
{'Amount': '23493.611477694129563507'},{'Address': '0x11a2cd82ec4794f4fc3ec5fffbc8d0a1416a5d51'}
{'Amount': '23463.305146574620215999'},{'Address': '0xbcc181046fd96ccadf0cebe30d4ff67d4373a126'}
{'Amount': '23053.523632054160048957'},{'Address': '0xb9665a8ba6e62204f54850a23135a92024b676d6'}
