token,spearman_corr,p_value
Uniswap,0.16832857288585126,0.09755338198960335
Aave,0.14554303374920385,0.0005568722900912577
Yearn Finance,0.6888888888888889,9.963379762569437e-05
Balancer,0.3344508760927213,3.3007379195300546e-19
Index Cooperative,0.8503901932772264,2.251929183770712e-271
