token,participation_trend_stat,participation_p_value,turnout_trend_stat,turnout_p_value
Uniswap,0.2941300231432779,1.8042539079221598e-05,-0.21922996002524722,0.0013975518062361303
Aave,0.27306185520739157,0.0,-0.3778444611152788,0.0
Yearn Finance,0.4276923076923077,0.002352196545423846,0.06461538461538462,0.6593353383597194
Balancer,0.011099960465894232,0.6653249538111377,-0.5257340962112425,0.0
Index Cooperative,-0.504906211394229,0.0,-0.665576873256384,0.0
