token,gini_coefficient_trend_stat,gini_coefficient_p_value,hhi_trend_stat,hhi_p_value,theil_index_trend_stat,theil_index_p_value,shannon_entropy_trend_stat,shannon_entropy_p_value,unique_holders_trend_stat,unique_holders_p_value,nakamoto_coefficient_trend_stat,nakamoto_coefficient_p_value
Spectra,-0.19540229885057472,0.13396533563924473,-0.6551724137931034,4.0444678339746076e-07,-0.632183908045977,1.0163687655939668e-06,0.728735632183908,1.722705822437831e-08,0.6896551724137931,9.331348915786464e-08,0.7586206896551724,2.6480382331328656e-09
Uniswap,-0.1632183908045977,0.21171183194124232,-0.8850574712643678,7.335909657513184e-12,-0.7517241379310344,6.0209035535052635e-09,0.8528735632183908,4.0789371880123326e-11,0.8620689655172413,2.5140334258821895e-11,0.7908045977011494,7.689453518366918e-10
Aave,-0.4088669950738916,0.001967596839909991,-0.21182266009852216,0.11083858110212819,-0.1477832512315271,0.2684125627342089,0.6305418719211823,1.72435511314184e-06,0.9507389162561576,5.129230373768223e-13,0.5689655172413793,1.4610365888234611e-05
Index Cooperative,-0.7783251231527094,3.4463079057189816e-09,-0.7783251231527094,3.4463079057189816e-09,-0.8275862068965517,3.30075300425392e-10,0.8866995073891626,1.64896984955476e-11,0.9655172413793104,2.227107387398064e-13,0.8349753694581281,1.5441425915696527e-10
Yearn Finance,0.1111111111111111,0.4179302333168975,0.047619047619047616,0.7369758150394312,-0.07407407407407407,0.5937387052742729,0.15343915343915343,0.2601140477282804,0.6190476190476191,4.159103804690645e-06,-0.2037037037037037,0.1270063346848347
Balancer,0.06349206349206349,0.649540989554171,-0.005291005291005291,0.984237603525127,0.24338624338624337,0.07220184758805659,0.13227513227513227,0.3330096834319116,0.9947089947089947,1.2745360322696797e-13,0.04497354497354497,0.7445357735892022
