name,symbol,id,address,market_cap
Uniswap,uni,uniswap,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,9744657891.90835
Immutable,imx,immutable-x,0xf57e7e7c23978c3caec3c3548e3d615c346e79ff,4327405383.89137
Mantle,mnt,mantle,0x3c3a81e81dc49a522a592e7622a7e711c06bf354,4252615292.6610713
The Graph,grt,the-graph,0xc944e90c64b2c07662a292be6244bdf05cda44a7,3705769115.017249
Maker,mkr,maker,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,3625315584.714123
Artificial Superintelligence Alliance,fet,fetch-ai,0xaea46a60368a7bd060eec7df8cba43b7ef41ad85,3178179084.81554
Lido DAO,ldo,lido-dao,0x5a98fcbea516cf06857215779fd812ca3bef1b32,2632538942.047183
Aave,aave,aave,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,1893779646.4620297
Beam,beam,beam-2,0x62d0a8458ed7719fdaf978fe5929c6d342b0bfce,1821685704.841446
Ribbon Finance,rbn,ribbon-finance,0x6123b0049f904d730db3c36a31167d9d4121fa6b,1638293173.6462674
