name,symbol,id,address,market_cap
Uniswap,uni,uniswap,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,4860601042.926826
ApeCoin,ape,apecoin,0x4d224452801aced8b2f0aebe155379bb5d594381,1702782917.9073858
Decentraland,mana,decentraland,0x0f5d2fb29fb7d3cfee444a200298f468908cc942,1267840678.5587957
Axie Infinity,axs,axie-infinity,0xbb0e17ef65f82ab018d8edd776e8dd940327b28b,1137837792.3801732
Aave,aave,aave,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,1052046111.3120738
Lido DAO,ldo,lido-dao,0x5a98fcbea516cf06857215779fd812ca3bef1b32,1034389539.4022332
The Graph,grt,the-graph,0xc944e90c64b2c07662a292be6244bdf05cda44a7,732815951.8248116
Maker,mkr,maker,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,665896939.1346171
Synthetix Network,snx,havven,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,568855621.5320616
Rocket Pool,rpl,rocket-pool,0xd33526068d116ce69f19a9ee46f0bd304f21a51f,462363468.0887525
