name,symbol,id,address,market_cap
Uniswap,uni,uniswap,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,3845847929.950239
ApeCoin,ape,apecoin,0x4d224452801aced8b2f0aebe155379bb5d594381,2066666838.748153
Decentraland,mana,decentraland,0x0f5d2fb29fb7d3cfee444a200298f468908cc942,1778340138.860554
Axie Infinity,axs,axie-infinity,0xbb0e17ef65f82ab018d8edd776e8dd940327b28b,1603954663.2066064
Aave,aave,aave,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,1378965563.2737217
Lido DAO,ldo,lido-dao,0x5a98fcbea516cf06857215779fd812ca3bef1b32,1139584783.005405
Maker,mkr,maker,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,995999217.2739888
The Graph,grt,the-graph,0xc944e90c64b2c07662a292be6244bdf05cda44a7,952488101.715826
Synthetix Network,snx,havven,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,827089505.2502165
GMT,gmt,stepn,0xe3c408bd53c31c085a1746af401a4042954ff740,576397005.5247272
