name,symbol,id,address,market_cap
Uniswap,uni,uniswap,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,3782203161.574936
Lido DAO,ldo,lido-dao,0x5a98fcbea516cf06857215779fd812ca3bef1b32,1843093841.745039
The Graph,grt,the-graph,0xc944e90c64b2c07662a292be6244bdf05cda44a7,1206799096.6010904
ApeCoin,ape,apecoin,0x4d224452801aced8b2f0aebe155379bb5d594381,1160860216.1463048
Rocket Pool,rpl,rocket-pool,0xd33526068d116ce69f19a9ee46f0bd304f21a51f,943494471.6948766
Aave,aave,aave,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,920943826.0579876
Decentraland,mana,decentraland,0x0f5d2fb29fb7d3cfee444a200298f468908cc942,849405553.1140306
Axie Infinity,axs,axie-infinity,0xbb0e17ef65f82ab018d8edd776e8dd940327b28b,796209196.0580965
Synthetix Network,snx,havven,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,741564657.1484709
Immutable,imx,immutable-x,0xf57e7e7c23978c3caec3c3548e3d615c346e79ff,729080450.1450303
