name,symbol,id,address,market_cap
Axie Infinity,axs,axie-infinity,0xbb0e17ef65f82ab018d8edd776e8dd940327b28b,6480924862.704122
Uniswap,uni,uniswap,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,5113517891.073793
Decentraland,mana,decentraland,0x0f5d2fb29fb7d3cfee444a200298f468908cc942,3963014819.1387353
The Graph,grt,the-graph,0xc944e90c64b2c07662a292be6244bdf05cda44a7,3123937330.309525
Aave,aave,aave,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,2798690604.291877
ApeCoin,ape,apecoin,0x4d224452801aced8b2f0aebe155379bb5d594381,2123205275.3242216
Maker,mkr,maker,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,1869717296.2697296
Convex Finance,cvx,convex-finance,0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b,1624469856.4225423
Synthetix Network,snx,havven,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,1491577018.751119
GMT,gmt,stepn,0xe3c408bd53c31c085a1746af401a4042954ff740,1467847988.3875043
