name,symbol,id,address,market_cap
Uniswap,uni,uniswap,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,8456491766.085237
Immutable,imx,immutable-x,0xf57e7e7c23978c3caec3c3548e3d615c346e79ff,4448298447.042328
Lido DAO,ldo,lido-dao,0x5a98fcbea516cf06857215779fd812ca3bef1b32,3007736497.6324625
Mantle,mnt,mantle,0x3c3a81e81dc49a522a592e7622a7e711c06bf354,2910318739.95652
The Graph,grt,the-graph,0xc944e90c64b2c07662a292be6244bdf05cda44a7,2648316166.2108603
Maker,mkr,maker,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,1937358692.779728
Beam,beam,beam-2,0x62d0a8458ed7719fdaf978fe5929c6d342b0bfce,1678451155.8537524
Aave,aave,aave,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,1560266260.782745
Artificial Superintelligence Alliance,fet,fetch-ai,0xaea46a60368a7bd060eec7df8cba43b7ef41ad85,1538283563.7840643
Synthetix Network,snx,havven,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,1370444189.7029402
