name,symbol,id,address,market_cap
Uniswap,uni,uniswap,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,4950354877.509898
ApeCoin,ape,apecoin,0x4d224452801aced8b2f0aebe155379bb5d594381,2161780587.490984
Lido DAO,ldo,lido-dao,0x5a98fcbea516cf06857215779fd812ca3bef1b32,1844285068.6657948
Decentraland,mana,decentraland,0x0f5d2fb29fb7d3cfee444a200298f468908cc942,1359510616.0921748
Axie Infinity,axs,axie-infinity,0xbb0e17ef65f82ab018d8edd776e8dd940327b28b,1255205196.0719814
Aave,aave,aave,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,1184852518.205868
The Graph,grt,the-graph,0xc944e90c64b2c07662a292be6244bdf05cda44a7,786681949.0414177
Frax Share,fxs,frax-share,0x3432b6a60d23ca0dfca7761b7ab56459d9c964d0,748633516.3601403
Curve DAO,crv,curve-dao-token,0xd533a949740bb3306d119cc777fa900ba034cd52,737834230.801571
Rocket Pool,rpl,rocket-pool,0xd33526068d116ce69f19a9ee46f0bd304f21a51f,730617279.8558769
