name,symbol,id,address,market_cap
Uniswap,uni,uniswap,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,4483508803.57028
Lido DAO,ldo,lido-dao,0x5a98fcbea516cf06857215779fd812ca3bef1b32,2736173374.926818
Immutable,imx,immutable-x,0xf57e7e7c23978c3caec3c3548e3d615c346e79ff,2552760969.4822226
Mantle,mnt,mantle,0x3c3a81e81dc49a522a592e7622a7e711c06bf354,2063254183.2420287
Maker,mkr,maker,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,1913381881.5815687
The Graph,grt,the-graph,0xc944e90c64b2c07662a292be6244bdf05cda44a7,1466970207.327208
Aave,aave,aave,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,1343804468.9404988
Synthetix Network,snx,havven,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,1055251888.024772
Axie Infinity,axs,axie-infinity,0xbb0e17ef65f82ab018d8edd776e8dd940327b28b,995845998.7130252
Beam,beam,beam-2,0x62d0a8458ed7719fdaf978fe5929c6d342b0bfce,882970954.975323
