name,symbol,id,address,market_cap
Uniswap,uni,uniswap,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,2215983426.153656
ApeCoin,ape,apecoin,0x4d224452801aced8b2f0aebe155379bb5d594381,1379135317.2610333
Decentraland,mana,decentraland,0x0f5d2fb29fb7d3cfee444a200298f468908cc942,1305151626.7654307
Axie Infinity,axs,axie-infinity,0xbb0e17ef65f82ab018d8edd776e8dd940327b28b,1181096634.969239
Maker,mkr,maker,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,778545317.7300816
Aave,aave,aave,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,774098461.5624694
The Graph,grt,the-graph,0xc944e90c64b2c07662a292be6244bdf05cda44a7,693508749.0652589
Synthetix Network,snx,havven,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,505686742.58669263
GMT,gmt,stepn,0xe3c408bd53c31c085a1746af401a4042954ff740,496469063.41573495
Loopring,lrc,loopring,0xbbbbca6a901c926f240b89eacb641d8aec7aeafd,468375384.3927292
