name,symbol,id,address,market_cap
Uniswap,uni,uniswap,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,7753293078.668879
Axie Infinity,axs,axie-infinity,0xbb0e17ef65f82ab018d8edd776e8dd940327b28b,6363826978.230659
Decentraland,mana,decentraland,0x0f5d2fb29fb7d3cfee444a200298f468908cc942,4371312037.220074
Aave,aave,aave,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,3459438031.863206
The Graph,grt,the-graph,0xc944e90c64b2c07662a292be6244bdf05cda44a7,3412594969.190235
Loopring,lrc,loopring,0xbbbbca6a901c926f240b89eacb641d8aec7aeafd,2640857980.5934267
Convex Finance,cvx,convex-finance,0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b,2178369463.340751
Curve DAO,crv,curve-dao-token,0xd533a949740bb3306d119cc777fa900ba034cd52,2123316192.695012
Maker,mkr,maker,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,2114974365.439092
Spell,spell,spell-token,0x090185f2135308bad17527004364ebcc2d37e5f6,1879847829.6317985
