name,symbol,id,address,market_cap
Uniswap,uni,uniswap,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,9564380338.333405
Immutable,imx,immutable-x,0xf57e7e7c23978c3caec3c3548e3d615c346e79ff,4270972451.844416
The Graph,grt,the-graph,0xc944e90c64b2c07662a292be6244bdf05cda44a7,3755460331.622317
Mantle,mnt,mantle,0x3c3a81e81dc49a522a592e7622a7e711c06bf354,3017942130.454224
Maker,mkr,maker,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,2971999395.0482697
Artificial Superintelligence Alliance,fet,fetch-ai,0xaea46a60368a7bd060eec7df8cba43b7ef41ad85,2962679133.7904334
Lido DAO,ldo,lido-dao,0x5a98fcbea516cf06857215779fd812ca3bef1b32,2787001604.476445
Beam,beam,beam-2,0x62d0a8458ed7719fdaf978fe5929c6d342b0bfce,2098093151.874479
Aave,aave,aave,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,1932765392.873973
Axie Infinity,axs,axie-infinity,0xbb0e17ef65f82ab018d8edd776e8dd940327b28b,1618815878.8922465
