name,symbol,id,address,market_cap
ApeCoin,ape,apecoin,0x4d224452801aced8b2f0aebe155379bb5d594381,5725677056.887597
Uniswap,uni,uniswap,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,3102491916.639066
Axie Infinity,axs,axie-infinity,0xbb0e17ef65f82ab018d8edd776e8dd940327b28b,2244126942.198116
Decentraland,mana,decentraland,0x0f5d2fb29fb7d3cfee444a200298f468908cc942,2155302297.14544
The Graph,grt,the-graph,0xc944e90c64b2c07662a292be6244bdf05cda44a7,2132709380.120576
GMT,gmt,stepn,0xe3c408bd53c31c085a1746af401a4042954ff740,2130166498.535877
Aave,aave,aave,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,1956583348.500424
Frax Share,fxs,frax-share,0x3432b6a60d23ca0dfca7761b7ab56459d9c964d0,1414776803.6089714
Convex Finance,cvx,convex-finance,0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b,1388048443.4253097
Maker,mkr,maker,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,1291718699.5525272
