name,symbol,id,address,market_cap
Uniswap,uni,uniswap,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,4743845301.034433
Lido DAO,ldo,lido-dao,0x5a98fcbea516cf06857215779fd812ca3bef1b32,2103637835.407184
Immutable,imx,immutable-x,0xf57e7e7c23978c3caec3c3548e3d615c346e79ff,1682711473.7736108
Mantle,mnt,mantle,0x3c3a81e81dc49a522a592e7622a7e711c06bf354,1577283573.544588
Aave,aave,aave,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,1406116000.6532164
The Graph,grt,the-graph,0xc944e90c64b2c07662a292be6244bdf05cda44a7,1384259484.200792
Maker,mkr,maker,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,1357070397.0167947
Synthetix Network,snx,havven,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,1075760704.5690322
Axie Infinity,axs,axie-infinity,0xbb0e17ef65f82ab018d8edd776e8dd940327b28b,906457574.9636152
Decentraland,mana,decentraland,0x0f5d2fb29fb7d3cfee444a200298f468908cc942,814149039.5433857
